,Salisbury,Gloucester_2H4,Somerset_1H6,York_1H6,CardinalBeaufort_1H6,Buckingham,HenryVI_1H6,QueenMargaret_1H6,Warwick,PETITIONERS,Thump,DuchessOfGloucester,Horner,OFFICERS,FALCONERS,ATTENDANTS,CITIZENS.STALBANS.0.1,Simpcox,SimpcoxWife,CITIZENS.STALBANS,MayorOfStAlbans,MURDERERS,Master,Lieutenant,GENTLEMEN.2,Mate,GENTLEMEN.1,Whitmore,Suffolk_1H6,Beadle,Hume,Southwell,Bolingbroke,Jourdain,NEIGHBORS.1,NEIGHBORS.3,PRENTICES.2,NEIGHBORS.2,PRENTICES.3,PRENTICES.1,CITIZENS,FOLLOWERS.CADE.0,Saye,MESSENGERS.1,MESSENGERS.2,FOLLOWERS.CADE.0.1,Clifford,FOLLOWERS.CADE,MESSENGERS.X.3,ATTENDANTS.YORK,Iden,EdwardIV_3H6,RichardIII_R3,Clifford_3H6,Vaux,MESSENGERS.X.1,SERVANTS.GLOUCESTER,Stanley,Sheriff,HERALDS.X.1,SOLDIERS.YORK,Stafford,George,Holland,Smith,Bevis,Dick,Cade,Michael,Spirit,Sawyer,Clerk,SOLDIERS,WilliamStafford,HERALDS.X.2,SOLDIERS.1,MESSENGERS.X.2,SERVANTS.IDEN,CITIZENS.LONDON,Scales
Suffolk_1H6,690.0,596.0,1099.0,955.0,1373.0,504.0,1062.0,2218.0,874.0,90.0,156.0,57.0,66.0,66.0,123.0,725.0,2153.0,25.0,25.0,25.0,25.0,70.0,545.0,545.0,545.0,545.0,545.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HenryVI_1H6,1547.0,987.0,1983.0,1422.0,2071.0,1393.0,0.0,2930.0,1437.0,0.0,131.0,178.0,131.0,213.0,365.0,2190.0,2718.0,102.0,116.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2079.0,14.0,141.0,141.0,141.0,141.0,59.0,59.0,59.0,59.0,59.0,59.0,41.0,184.0,184.0,77.0,31.0,686.0,452.0,84.0,153.0,352.0,320.0,193.0,193.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QueenMargaret_1H6,775.0,354.0,1415.0,1079.0,1733.0,863.0,2013.0,0.0,727.0,96.0,51.0,112.0,0.0,0.0,111.0,1676.0,2469.0,22.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,148.0,32.0,12.0,220.0,44.0,0.0,0.0,98.0,98.0,44.0,44.0,44.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucester_2H4 CardinalBeaufort_1H6 Somerset_1H6 Suffolk_1H6 Buckingham York_1H6 Salisbury Warwick,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucester_2H4,1559.0,0.0,1399.0,1559.0,2160.0,1363.0,1891.0,1891.0,1399.0,0.0,74.0,620.0,74.0,411.0,761.0,1562.0,1759.0,356.0,391.0,391.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1891.0,62.0,82.0,82.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,394.0,255.0,255.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CardinalBeaufort_1H6,572.0,477.0,624.0,623.0,0.0,473.0,609.0,660.0,572.0,0.0,0.0,30.0,0.0,0.0,256.0,379.0,547.0,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salisbury,0.0,51.0,431.0,601.0,323.0,51.0,446.0,436.0,838.0,0.0,35.0,21.0,35.0,0.0,0.0,415.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,35.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,192.0,118.0,0.0,0.0,118.0,118.0,192.0,192.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warwick,636.0,378.0,822.0,556.0,778.0,110.0,786.0,753.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,682.0,1067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,273.0,123.0,0.0,0.0,77.0,77.0,140.0,140.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
York_1H6,1144.0,266.0,1053.0,439.0,616.0,1125.0,919.0,1136.0,1150.0,0.0,86.0,101.0,86.0,130.0,0.0,780.0,2765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.0,0.0,83.0,83.0,83.0,83.0,39.0,39.0,39.0,39.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,1180.0,241.0,0.0,0.0,932.0,475.0,260.0,260.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buckingham,182.0,149.0,191.0,430.0,258.0,0.0,317.0,296.0,182.0,0.0,0.0,100.0,0.0,66.0,95.0,263.0,487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,66.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,41.0,23.0,294.0,136.0,105.0,22.0,158.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,66.0,105.0,105.0,105.0,105.0,105.0,50.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Somerset_1H6,121.0,47.0,0.0,193.0,127.0,163.0,134.0,177.0,121.0,0.0,8.0,39.0,8.0,8.0,0.0,66.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,21.0,0.0,21.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
