,York_1H6,Montague,Norfolk,SOLDIERS.YORK,EdwardIV,RichardIII_R3,Exeter,SOLDIERS.LANCASTER,Northumberland,HenryVI_1H6,Westmorland,Clifford,SOLDIERS.WARWICK,MESSENGERS.X.3,PrinceEdward,QueenMargaret_1H6,Clarence,Warwick_2H6,LadyBona,Oxford,KingLewis,Bourbon,MESSENGERS.Post,SOLDIERS.FRENCH,Somerset,WATCHMEN.2,WATCHMEN.1,WATCHMEN.3,Lieutenant,HenryVII_R3,MayorOfCoventry,MESSENGERS.2,MESSENGERS.1,Somerville,SOLDIERS.OXFORD,SOLDIERS.CLARENCE,JohnMortimer,HughMortimer,MESSENGERS.X.2,ATTENDANTS.EDWARD,QueenElizabeth,ATTENDANTS.EDWARD.1,Pembroke,Stafford,Hastings,Stanley,Huntsman,ALDERMEN,MayorOfYork,SOLDIERS.MONTGOMERY,Montgomery,SOLDIERS.YORK.0.2,EdwardV.Infant,Nurse,SOLDIERS.MONTAGUE,SOLDIERS.SOMERSET,Son,Father,GAMEKEEPERS.1,GAMEKEEPERS.2,Rutland,Tutor,Rivers
Warwick_2H6,452.0,1964.0,510.0,1516.0,2136.0,1925.0,477.0,229.0,287.0,739.0,229.0,582.0,748.0,20.0,813.0,813.0,1459.0,390.0,755.0,1914.0,755.0,755.0,368.0,502.0,766.0,34.0,34.0,34.0,204.0,204.0,353.0,41.0,23.0,312.0,11.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
York_1H6,305.0,652.0,367.0,195.0,740.0,740.0,174.0,835.0,835.0,174.0,140.0,835.0,0.0,0.0,695.0,695.0,0.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EdwardIV,138.0,1450.0,419.0,2411.0,0.0,4209.0,124.0,81.0,383.0,494.0,13.0,602.0,91.0,0.0,576.0,635.0,2786.0,1368.0,0.0,312.0,0.0,0.0,369.0,107.0,656.0,0.0,0.0,0.0,0.0,0.0,316.0,0.0,0.0,316.0,0.0,80.0,22.0,22.0,14.0,1589.0,1589.0,47.0,600.0,600.0,1480.0,91.0,91.0,340.0,340.0,235.0,235.0,486.0,290.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montague,87.0,0.0,63.0,46.0,148.0,148.0,49.0,24.0,24.0,49.0,24.0,24.0,0.0,0.0,0.0,0.0,48.0,83.0,0.0,20.0,0.0,0.0,10.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,35.0,35.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RichardIII_R3,279.0,1170.0,280.0,1816.0,2623.0,675.0,38.0,38.0,238.0,704.0,38.0,522.0,233.0,0.0,314.0,325.0,1280.0,1110.0,0.0,62.0,0.0,0.0,39.0,0.0,198.0,0.0,0.0,0.0,30.0,0.0,206.0,0.0,0.0,206.0,0.0,10.0,22.0,22.0,13.0,540.0,540.0,0.0,157.0,157.0,572.0,175.0,56.0,82.0,82.0,58.0,58.0,683.0,103.0,103.0,19.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk,33.0,33.0,0.0,33.0,33.0,33.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HenryVI_1H6,633.0,1172.0,669.0,187.0,669.0,1144.0,1049.0,520.0,761.0,531.0,520.0,761.0,0.0,0.0,343.0,343.0,539.0,1172.0,0.0,503.0,0.0,0.0,0.0,0.0,452.0,0.0,0.0,0.0,496.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,0.0,0.0,0.0,0.0,188.0,128.0,718.0,718.0,0.0,0.0,0.0
Northumberland,289.0,146.0,146.0,36.0,146.0,146.0,134.0,289.0,0.0,157.0,134.0,312.0,0.0,0.0,178.0,178.0,12.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clifford,312.0,270.0,270.0,145.0,270.0,339.0,176.0,550.0,749.0,613.0,176.0,279.0,0.0,0.0,573.0,573.0,94.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,37.0,0.0
Westmorland,110.0,110.0,110.0,36.0,110.0,110.0,110.0,110.0,110.0,110.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
