,Helen,Bertram,Lafew,Steward,Fool,Countess,GENTLEMEN.2,GENTLEMEN.1,LORDS.DUMAINE.1,LORDS.DUMAINE.2,ATTENDANTS.KING,King,Diana,Widow,ATTENDANTS.KING.0.2,Parolles,LORDS.COURT.4,LORDS.COURT.3,LORDS.COURT.2,LORDS.COURT.1,SOLDIERS,Duke,Servant,SOLDIERS.Interpreter,GENTLEMEN.3,Page,Mariana,CITIZENS,ATTENDANTS
Countess,1237.0,502.0,718.0,671.0,620.0,123.0,256.0,256.0,139.0,139.0,139.0,139.0,41.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bertram,507.0,0.0,1008.0,0.0,0.0,652.0,0.0,0.0,1215.0,1296.0,871.0,871.0,582.0,277.0,277.0,1309.0,175.0,175.0,175.0,175.0,192.0,67.0,125.0,312.0,0.0,0.0,0.0,0.0,0.0
Lafew,529.0,1096.0,0.0,0.0,286.0,1014.0,0.0,0.0,326.0,326.0,844.0,844.0,119.0,119.0,119.0,1414.0,146.0,146.0,146.0,146.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
Helen,704.0,708.0,480.0,0.0,84.0,870.0,99.0,99.0,129.0,129.0,1077.0,1077.0,1039.0,1373.0,129.0,1133.0,337.0,337.0,337.0,337.0,37.0,0.0,0.0,0.0,229.0,94.0,282.0,282.0,319.0
Parolles,856.0,1976.0,691.0,0.0,302.0,188.0,0.0,0.0,1817.0,1429.0,442.0,442.0,195.0,195.0,188.0,222.0,0.0,0.0,0.0,0.0,395.0,0.0,0.0,1351.0,0.0,148.0,7.0,7.0,0.0
Page,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
King,1291.0,2522.0,2748.0,0.0,0.0,1457.0,0.0,0.0,1642.0,1642.0,3484.0,0.0,539.0,539.0,577.0,1805.0,607.0,607.0,607.0,607.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0
ATTENDANTS.KING.0.1,0.0,15.0,22.0,0.0,0.0,7.0,0.0,0.0,7.0,7.0,49.0,49.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.KING.0.2,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steward,0.0,0.0,0.0,0.0,69.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fool,246.0,0.0,380.0,624.0,0.0,1643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LORDS.DUMAINE.1,0.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102.0,70.0,70.0,0.0,0.0,0.0,433.0,0.0,0.0,0.0,0.0,776.0,45.0,0.0,910.0,0.0,0.0,0.0,0.0,0.0
LORDS.DUMAINE.1 LORDS.DUMAINE.2,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LORDS.DUMAINE.2,0.0,593.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,26.0,26.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,481.0,61.0,95.0,510.0,0.0,0.0,0.0,0.0,0.0
LORDS.COURT.1 LORDS.COURT.2 LORDS.COURT.3 LORDS.COURT.4,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LORDS.COURT.1,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LORDS.COURT.2,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LORDS.COURT.4,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,11.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duke,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENTLEMEN.1,92.0,0.0,0.0,0.0,0.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENTLEMEN.2,111.0,0.0,0.0,0.0,0.0,111.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Widow,382.0,57.0,28.0,0.0,0.0,28.0,0.0,0.0,28.0,28.0,28.0,28.0,430.0,0.0,28.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,9.0,0.0,375.0,375.0,9.0
Diana,187.0,1140.0,570.0,0.0,0.0,570.0,0.0,0.0,570.0,570.0,570.0,570.0,0.0,778.0,570.0,348.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,189.0,189.0,0.0
Mariana,32.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,212.0,0.0,26.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0
Widow Diana,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0
SOLDIERS.Interpreter,0.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,786.0,647.0,0.0,0.0,0.0,0.0,0.0,822.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLDIERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
SOLDIERS.0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Servant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
GENTLEMEN.3,64.0,0.0,101.0,0.0,0.0,101.0,0.0,0.0,101.0,101.0,101.0,101.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
Epilogue,64.0,64.0,64.0,0.0,0.0,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
