,Adam,Oliver,Charles,Rosalind,ATTENDANTS,Celia,DukeFrederick,LORDS.FREDERICK,Touchstone,LORDS.FREDERICK.LeBeau,Orlando,LORDS.SENIOR,Jaques,LORDS.SENIOR.Amiens,DukeSenior,Phoebe,Silvius,Audrey,Hymen,Dennis,Corin,OliverMartext,William,SERVANTS.1,SERVANTS.2,SecondBrother
Orlando,1066.0,580.0,218.0,1253.0,233.0,1075.0,233.0,233.0,246.0,301.0,134.0,299.0,592.0,408.0,408.0,138.0,138.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oliver,136.0,32.0,396.0,744.0,0.0,734.0,21.0,21.0,0.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles,0.0,395.0,0.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Celia,0.0,204.0,142.0,2711.0,142.0,0.0,263.0,263.0,697.0,242.0,285.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,277.0,0.0,0.0,0.0,0.0,0.0
Rosalind,0.0,440.0,109.0,258.0,109.0,6295.0,268.0,268.0,762.0,200.0,3808.0,0.0,517.0,271.0,271.0,1023.0,1568.0,72.0,72.0,0.0,886.0,0.0,0.0,0.0,0.0,0.0
Touchstone,0.0,556.0,0.0,673.0,0.0,522.0,0.0,0.0,0.0,58.0,556.0,0.0,1271.0,556.0,556.0,556.0,556.0,1845.0,0.0,0.0,795.0,208.0,422.0,77.0,77.0,0.0
LORDS.FREDERICK.LeBeau,0.0,0.0,31.0,262.0,31.0,262.0,31.0,31.0,262.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DukeFrederick,0.0,161.0,153.0,450.0,219.0,450.0,0.0,687.0,219.0,219.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DukeSenior,155.0,288.0,0.0,209.0,0.0,229.0,0.0,0.0,237.0,0.0,592.0,746.0,709.0,1034.0,0.0,268.0,268.0,237.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0
LORDS.SENIOR.Amiens,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,308.0,280.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LORDS.SENIOR.0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.0,19.0,383.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LORDS.SENIOR.0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,31.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LORDS.FREDERICK.0.1,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LORDS.FREDERICK.0.2,0.0,0.0,0.0,0.0,0.0,0.0,71.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corin,0.0,0.0,0.0,338.0,0.0,326.0,0.0,0.0,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silvius,0.0,12.0,0.0,456.0,0.0,343.0,0.0,0.0,163.0,0.0,125.0,0.0,12.0,12.0,12.0,379.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0
Jaques,0.0,337.0,0.0,527.0,0.0,527.0,0.0,0.0,471.0,0.0,574.0,1344.0,0.0,1605.0,1300.0,337.0,337.0,471.0,172.0,0.0,0.0,102.0,0.0,0.0,0.0,172.0
LORDS.SENIOR.Amiens LORDS.SENIOR Jaques,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Audrey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
OliverMartext,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
Phoebe,0.0,58.0,0.0,400.0,0.0,325.0,0.0,0.0,40.0,0.0,133.0,0.0,58.0,58.0,58.0,0.0,861.0,40.0,40.0,0.0,267.0,0.0,0.0,0.0,0.0,0.0
William,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0
SERVANTS.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0
SERVANTS.1 SERVANTS.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,216.0,216.0,0.0
Hymen,0.0,183.0,0.0,183.0,0.0,183.0,0.0,0.0,183.0,0.0,183.0,0.0,183.0,183.0,183.0,183.0,183.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SecondBrother,0.0,153.0,0.0,153.0,0.0,153.0,0.0,0.0,153.0,0.0,153.0,0.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
