,MESSENGERS.LEONATO.1,Hero,Beatrice,DonJohn,DonPedro,Benedick,Claudio,Balthasar,LeonatosBrother,Ursula,Margaret,Dogberry,Verges,FriarFrancis,ATTENDANTS,WATCHMEN.2,WATCHMEN.Seacoal,Borachio,WATCHMEN.1,Conrade,Sexton,Leonato,Antonio,MUSICIANS,Boy,MESSENGERS.DONPEDRO.1
Leonato,321.0,1491.0,1358.0,268.0,1670.0,1501.0,1670.0,110.0,1573.0,328.0,328.0,449.0,449.0,933.0,781.0,355.0,355.0,355.0,355.0,355.0,355.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.LEONATO.1,0.0,248.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,0.0,0.0,0.0
Beatrice,523.0,2070.0,100.0,383.0,844.0,1316.0,844.0,370.0,957.0,957.0,1121.0,0.0,0.0,183.0,183.0,0.0,0.0,224.0,0.0,0.0,0.0,1906.0,224.0,0.0,0.0,0.0
Hero,9.0,0.0,915.0,153.0,243.0,299.0,243.0,66.0,145.0,944.0,406.0,0.0,0.0,233.0,233.0,0.0,0.0,66.0,0.0,0.0,0.0,337.0,66.0,0.0,0.0,0.0
DonPedro,163.0,897.0,541.0,385.0,0.0,1986.0,3063.0,413.0,201.0,73.0,73.0,175.0,175.0,168.0,220.0,181.0,181.0,233.0,181.0,181.0,35.0,2037.0,52.0,52.0,0.0,0.0
Benedick,160.0,1314.0,1501.0,273.0,2151.0,496.0,2162.0,335.0,558.0,452.0,749.0,0.0,0.0,679.0,552.0,0.0,0.0,83.0,0.0,0.0,0.0,1669.0,83.0,0.0,386.0,25.0
DonJohn,18.0,104.0,104.0,0.0,458.0,104.0,572.0,18.0,0.0,0.0,0.0,0.0,0.0,86.0,86.0,0.0,0.0,423.0,0.0,446.0,0.0,104.0,0.0,0.0,0.0,0.0
Claudio,0.0,760.0,736.0,622.0,2368.0,1796.0,100.0,45.0,273.0,131.0,131.0,128.0,128.0,766.0,880.0,135.0,135.0,153.0,135.0,135.0,75.0,1521.0,0.0,114.0,0.0,0.0
LeonatosBrother,0.0,49.0,49.0,0.0,279.0,24.0,279.0,0.0,0.0,49.0,49.0,0.0,0.0,24.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,529.0,0.0,0.0,0.0,0.0
Conrade,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,186.0,186.0,194.0,186.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
