,Demetrius,MESSENGERS.X.1,Mardian,EUNUCHS,Antony_JC,Iras,Alexas,Charmian,Philo,Soothsayer,SERVANTS.Lucillius,SERVANTS.Lamprius,Enobarbus,SERVANTS.Rannius,MESSENGERS.ANTONY.1,MESSENGERS.X.2,Canidius,ATTENDANTS.ANTONY,Eros,Ambassador,SERVANTS.X.1,Thidias,SERVANTS.X.2,ATTENDANTS,SERVANTS.ANTONY,SOLDIERS.ANTONY.0,Scarus,SOLDIERS.ANTONY,Diomedes,GUARDS,Proculeius,Gallus,SOLDIERS.CAESAR,Dolabella,Maecenas,ATTENDANTS.CAESAR,Octavius_JC,Seleucus,GUARDS.CAESAR.1,Countryman,Cleopatra,MESSENGERS.ANTONY.2,MESSENGERS.ANTONY.3,Agrippa,Ventidius,Lepidus_JC,Octavia,SOLDIERS,Pompey,Menas,CAPTAINS,SERVANTS,Boy,SOLDIERS.ANTONY.X.1,SOLDIERS.ANTONY.X.2,SOLDIERS.ANTONY.X.3,GUARDS.Dercetus,GUARDS.CAESAR,SOLDIERS.CAESAR.X.1,WATCHMEN.Sentry,WATCHMEN.2,WATCHMEN.1,ATTENDANTS.ROMAN,MESSENGERS.CAESAR.1,MESSENGERS.CAESAR.2,ATTENDANTS.OCTAVIA,Taurus,MESSENGERS.X.5,Egyptian,Menecrates,Varrius,Silius,MESSENGERS.X.4
Philo,160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleopatra,189.0,166.0,1847.0,189.0,1756.0,5755.0,1913.0,5701.0,189.0,57.0,57.0,57.0,477.0,57.0,12.0,772.0,28.0,60.0,91.0,7.0,33.0,127.0,149.0,88.0,19.0,69.0,40.0,40.0,615.0,615.0,767.0,638.0,186.0,844.0,452.0,452.0,452.0,285.0,80.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antony_JC,234.0,209.0,493.0,234.0,0.0,2528.0,234.0,2858.0,234.0,174.0,0.0,0.0,3186.0,0.0,136.0,0.0,200.0,560.0,1729.0,136.0,0.0,424.0,471.0,719.0,270.0,631.0,729.0,558.0,315.0,301.0,0.0,0.0,0.0,0.0,1110.0,0.0,1339.0,0.0,0.0,0.0,3431.0,51.0,101.0,1272.0,732.0,1272.0,452.0,120.0,378.0,378.0,371.0,401.0,258.0,7.0,113.0,95.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.X.1,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demetrius,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charmian,0.0,0.0,550.0,0.0,36.0,899.0,559.0,0.0,0.0,397.0,397.0,397.0,397.0,397.0,0.0,22.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,25.0,25.0,11.0,11.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexas,0.0,0.0,238.0,0.0,0.0,263.0,0.0,263.0,0.0,83.0,83.0,83.0,83.0,83.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soothsayer,0.0,0.0,101.0,0.0,165.0,101.0,101.0,101.0,0.0,0.0,101.0,101.0,101.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enobarbus,0.0,0.0,49.0,0.0,978.0,475.0,49.0,475.0,0.0,49.0,49.0,49.0,126.0,49.0,0.0,0.0,149.0,0.0,78.0,0.0,0.0,106.0,0.0,95.0,66.0,182.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.0,0.0,355.0,0.0,0.0,0.0,674.0,0.0,0.0,1038.0,89.0,428.0,55.0,68.0,216.0,525.0,148.0,165.0,148.0,0.0,0.0,0.0,0.0,0.0,6.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iras,0.0,0.0,122.0,0.0,49.0,0.0,122.0,194.0,0.0,122.0,122.0,122.0,122.0,122.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
