,CITIZENS.ROMAN,Menenius,TRIBUNES.Brutus,TRIBUNES.Sicinius,AEDILES,SOLDIERS.ROMAN.0,MESSENGERS.TRIBUNES.2,AEDILES.X.3,Cominius,MESSENGERS.TRIBUNES.1,Lartius,SENATORS.ROMAN,Coriolanus,AEDILES.X.2,MESSENGERS.X.1,Valeria,Virgilia,Volumnia,Herald,SOLDIERS.ROMAN,OFFICERS.2,LICTORS,OFFICERS.1,NOBLES,WATCHMEN.2,WATCHMEN.1,Aufidius,MESSENGERS.X.2,SOLDIERS.VOLSCIAN,SOLDIERS.ROMAN.Trumpeter,CITIZENS.ROMAN.1,CITIZENS.ROMAN.2,CITIZENS.ROMAN.3,CITIZENS.ROMAN.4,CITIZENS.ROMAN.5,CITIZENS.ANTIUM.1,SERVANTS.2,SERVANTS.3,SERVANTS.1,ATTENDANTS.ROMAN,YoungMartius,LORDS.VOLSCIAN,CONSPIRATORS,CITIZENS.VOLSCIAN,MESSENGERS.X.3,SOLDIERS.ROMAN.Lieutenant,SOLDIERS.ROMAN.Scout,MESSENGERS.X.4,CITIZENS.ROMAN.7,CITIZENS.ROMAN.8,CITIZENS.ROMAN.6,AEDILES.X.1,SENATORS.VOLSCIAN,SOLDIERS.VOLSCIAN.Lieutenant,ATTENDANTS.VOLSCIAN,Gentlewoman,Usher,Adrian,Nicanor
CITIZENS.ROMAN.0.1,421.0,79.0,86.0,86.0,18.0,86.0,47.0,47.0,18.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIZENS.ROMAN,53.0,160.0,199.0,199.0,80.0,199.0,9.0,9.0,119.0,9.0,59.0,110.0,110.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIZENS.ROMAN.0.2,431.0,351.0,21.0,21.0,0.0,21.0,21.0,21.0,7.0,21.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Menenius,1582.0,0.0,3120.0,3486.0,511.0,4540.0,369.0,419.0,1454.0,385.0,301.0,803.0,1273.0,102.0,6.0,400.0,481.0,644.0,103.0,103.0,317.0,317.0,317.0,211.0,548.0,548.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coriolanus,1138.0,3907.0,2155.0,2155.0,59.0,6382.0,0.0,0.0,3862.0,0.0,2408.0,2437.0,0.0,354.0,203.0,847.0,1259.0,1605.0,173.0,1587.0,201.0,201.0,201.0,943.0,137.0,137.0,1957.0,202.0,76.0,181.0,103.0,103.0,103.0,166.0,166.0,185.0,462.0,89.0,505.0,674.0,674.0,309.0,309.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.X.1,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SENATORS.ROMAN.0.1,117.0,321.0,258.0,258.0,54.0,311.0,0.0,0.0,216.0,0.0,109.0,292.0,219.0,0.0,63.0,53.0,53.0,76.0,0.0,0.0,101.0,101.0,101.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cominius,127.0,1350.0,1235.0,1235.0,0.0,1856.0,318.0,318.0,0.0,318.0,534.0,729.0,1107.0,94.0,17.0,19.0,85.0,139.0,19.0,879.0,429.0,429.0,429.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lartius,47.0,151.0,47.0,47.0,0.0,134.0,0.0,0.0,181.0,0.0,0.0,151.0,337.0,0.0,47.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,15.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIBUNES.Sicinius,690.0,1350.0,2296.0,0.0,315.0,2287.0,100.0,101.0,668.0,139.0,254.0,582.0,646.0,488.0,0.0,0.0,70.0,70.0,0.0,0.0,41.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,349.0,349.0,349.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,349.0,349.0,349.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIBUNES.Brutus,245.0,713.0,0.0,1962.0,171.0,1811.0,8.0,43.0,415.0,22.0,268.0,377.0,385.0,178.0,0.0,0.0,40.0,40.0,0.0,0.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,407.0,407.0,407.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,407.0,407.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SENATORS.VOLSCIAN.0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0
