,ATTENDANTS.2,ATTENDANTS.1,Imogen,Posthumus,Cymbeline,ATTENDANTS,Pisanio,LADIES.QUEEN,Cornelius,ATTENDANTS.CLOTEN.1,Cloten,ATTENDANTS.CLOTEN.2,Lucius,ATTENDANTS.0.1,Queen,Frenchman,Philario,Spaniard,Dutchman,Iachimo,SOLDIERS.ROMAN,ATTENDANTS.3,SOLDIERS.BRITON,SOLDIERS.BRITON.0,JAILERS.1,MESSENGERS.2,Soothsayer,Belarius,Guiderius,Arviragus,LADIES.IMOGEN,MUSICIANS,TRIBUNES,SENATORS.2,SENATORS.1,JAILERS.2,GHOSTS.Mother,GHOSTS.BROTHERS.1,GHOSTS.BROTHERS.2,GHOSTS.Father
ATTENDANTS.1,619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.2,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Queen,0.0,0.0,302.0,193.0,470.0,615.0,504.0,39.0,241.0,88.0,581.0,88.0,198.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Posthumus,0.0,0.0,658.0,683.0,420.0,420.0,395.0,395.0,395.0,0.0,0.0,0.0,395.0,0.0,11.0,524.0,1359.0,524.0,524.0,1585.0,1245.0,606.0,412.0,1072.0,108.0,30.0,395.0,395.0,395.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imogen,0.0,0.0,834.0,483.0,483.0,483.0,2841.0,334.0,334.0,0.0,513.0,0.0,539.0,0.0,85.0,0.0,0.0,0.0,0.0,933.0,539.0,0.0,334.0,334.0,0.0,0.0,539.0,838.0,838.0,838.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cymbeline,0.0,0.0,1281.0,1166.0,0.0,2590.0,1792.0,1376.0,1376.0,137.0,647.0,137.0,1477.0,35.0,668.0,0.0,0.0,0.0,0.0,1130.0,1130.0,0.0,1130.0,1591.0,0.0,0.0,1130.0,1591.0,1591.0,1591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pisanio,0.0,0.0,1257.0,229.0,293.0,293.0,433.0,229.0,229.0,0.0,177.0,0.0,229.0,0.0,86.0,0.0,0.0,0.0,0.0,256.0,229.0,0.0,229.0,246.0,0.0,0.0,229.0,246.0,246.0,246.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.CLOTEN.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloten,0.0,0.0,215.0,0.0,321.0,367.0,414.0,0.0,0.0,604.0,786.0,604.0,242.0,0.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,173.0,20.0,34.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.CLOTEN.2,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,450.0,450.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LADIES.IMOGEN,0.0,0.0,23.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iachimo,0.0,0.0,2458.0,1849.0,689.0,689.0,967.0,689.0,689.0,0.0,0.0,0.0,695.0,0.0,0.0,748.0,1338.0,748.0,748.0,98.0,695.0,0.0,689.0,689.0,0.0,0.0,689.0,689.0,689.0,689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philario,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,184.0,184.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frenchman,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,221.0,221.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LADIES.QUEEN.0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cornelius,0.0,0.0,155.0,155.0,430.0,430.0,569.0,430.0,0.0,0.0,0.0,0.0,155.0,0.0,226.0,0.0,0.0,0.0,0.0,155.0,155.0,0.0,155.0,430.0,0.0,0.0,155.0,430.0,430.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSICIANS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
