,OFFICERS.Jailer,ATTENDANTS,Duke,AntipholusOfEphesus,OFFICERS,DromioOfEphesus,Adriana,Merchant2,Luciana,Courtesan,Angelo,Headsman,OTHERS,Messenger,AntipholusOfSyracuse,DromioOfSyracuse,Abbess,Egeon,Merchant1,Balthasar,Luce,OFFICERS.X,Pinch,SERVANTS.PINCH
Egeon,984.0,984.0,1307.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duke,422.0,422.0,0.0,328.0,463.0,328.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0,343.0,132.0,132.0,132.0,885.0,0.0,0.0,0.0,0.0,0.0,0.0
OFFICERS.Jailer,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Merchant1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AntipholusOfSyracuse,0.0,0.0,162.0,204.0,162.0,429.0,426.0,216.0,821.0,249.0,278.0,162.0,162.0,162.0,586.0,1543.0,162.0,162.0,155.0,0.0,0.0,0.0,0.0,0.0
DromioOfSyracuse,0.0,0.0,30.0,428.0,30.0,363.0,603.0,186.0,435.0,276.0,423.0,30.0,59.0,30.0,2055.0,51.0,30.0,30.0,22.0,237.0,47.0,127.0,0.0,0.0
DromioOfEphesus,0.0,0.0,165.0,1078.0,165.0,0.0,739.0,181.0,739.0,375.0,612.0,165.0,165.0,165.0,400.0,111.0,33.0,165.0,0.0,431.0,61.0,482.0,210.0,34.0
Adriana,0.0,0.0,406.0,444.0,406.0,536.0,0.0,745.0,2608.0,1117.0,773.0,406.0,745.0,153.0,739.0,887.0,319.0,406.0,0.0,28.0,28.0,372.0,286.0,126.0
Luciana,0.0,0.0,20.0,68.0,20.0,84.0,623.0,74.0,0.0,133.0,74.0,20.0,74.0,20.0,467.0,117.0,28.0,20.0,0.0,0.0,0.0,59.0,48.0,26.0
AntipholusOfEphesus,0.0,0.0,731.0,0.0,731.0,1822.0,1081.0,1292.0,1066.0,1066.0,1884.0,731.0,731.0,731.0,106.0,250.0,93.0,731.0,0.0,592.0,66.0,1085.0,335.0,53.0
Balthasar,0.0,0.0,0.0,244.0,0.0,244.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luce,0.0,0.0,0.0,86.0,0.0,86.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0
Angelo,0.0,0.0,101.0,442.0,101.0,134.0,129.0,698.0,129.0,129.0,0.0,101.0,129.0,101.0,266.0,161.0,44.0,101.0,0.0,33.0,0.0,375.0,0.0,0.0
Merchant2,0.0,0.0,63.0,123.0,63.0,63.0,153.0,0.0,153.0,153.0,356.0,63.0,153.0,63.0,61.0,61.0,13.0,63.0,0.0,0.0,0.0,116.0,0.0,0.0
OFFICERS.X,0.0,0.0,0.0,104.0,0.0,68.0,76.0,48.0,76.0,76.0,48.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0
Courtesan,0.0,0.0,42.0,66.0,42.0,66.0,103.0,42.0,103.0,147.0,42.0,42.0,42.0,42.0,133.0,133.0,16.0,42.0,0.0,0.0,0.0,61.0,24.0,0.0
Pinch,0.0,0.0,0.0,135.0,0.0,135.0,135.0,0.0,135.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,24.0
Abbess,0.0,0.0,267.0,267.0,267.0,267.0,660.0,660.0,660.0,660.0,660.0,267.0,660.0,267.0,267.0,267.0,0.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0
Messenger,0.0,0.0,164.0,0.0,164.0,0.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0
