,Chorus,BishopOfEly,Clarence_2H4,Gloucester_2H4,Exeter,Bedford,Westmoreland_1H4,Warwick_2H4,ATTENDANTS.ENGLISH,HenryV,BishopOfCanterbury,AMBASSADORS,ATTENDANTS.ENGLISH.0,Grey,Cambridge,Scroop,SOLDIERS.ENGLISH,Governor,Fluellen,Gower,Montjoy,Erpingham,Pistol_2H4,SOLDIERS.ENGLISH.Bates,SOLDIERS.ENGLISH.Williams,SOLDIERS.ENGLISH.Court,Salisbury,York,SOLDIERS.FRENCH,HERALDS,Bourbon,HERALDS.1,QueenOfFrance,ATTENDANTS.ENGLISH.Huntington,KingOfFrance,Burgundy,Alice,Katherine,ATTENDANTS.FRENCH,Berri,Constable,Dauphin,Brittany,Nym,MistressQuickly_1H4,Boy,Bardolph_1H4,SOLDIERS.FRENCH.LeFer,MESSENGERS.X.1,Orleans,Rambures,Beaumont,Grandpre,MESSENGERS.X.3,MESSENGERS.X.2,Jamy,MacMorris
Chorus,1972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BishopOfCanterbury,0.0,1946.0,1219.0,1219.0,1219.0,1219.0,1219.0,1219.0,1219.0,1219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BishopOfEly,0.0,0.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HenryV,0.0,1079.0,1130.0,4805.0,6073.0,4703.0,3994.0,2606.0,2823.0,191.0,1079.0,435.0,435.0,1295.0,1295.0,1295.0,2174.0,80.0,1509.0,1322.0,894.0,1098.0,93.0,1385.0,2044.0,1385.0,474.0,29.0,747.0,308.0,628.0,442.0,625.0,279.0,625.0,625.0,2395.0,2395.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exeter,0.0,126.0,132.0,221.0,0.0,261.0,335.0,198.0,956.0,579.0,126.0,7.0,7.0,57.0,57.0,57.0,23.0,0.0,66.0,56.0,12.0,23.0,0.0,0.0,54.0,0.0,23.0,0.0,272.0,12.0,22.0,44.0,74.0,0.0,591.0,74.0,74.0,74.0,517.0,517.0,517.0,517.0,517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Westmoreland_1H4,0.0,52.0,63.0,129.0,179.0,153.0,0.0,63.0,63.0,145.0,52.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,26.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMBASSADORS.0.1,0.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bardolph_1H4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,126.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,103.0,499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pistol_2H4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,302.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.0,475.0,530.0,704.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
