,Prologue,Norfolk,Abergavenny,Brandon,Sergeant,GUARDS,COMMONERS,GENTLEMEN.2,Lovell,GENTLEMEN.1,Sands,Vaux,Buckingham,HenryVIII,ATTENDANTS,Wolsey,Suffolk,SECRETARIES.X.1,Katherine,NOBLES,Chamberlain,Campeius,Surrey,Cromwell,SERVANTS,Chancellor,Gardiner,Cranmer,Keeper,SECRETARIES,Surveyor,LADIES,Guilford,GENTLEMEN,Anne,SERVANTS.X.1,MASKERS,Crier,BISHOPS,Scribe,Usher,LORDS,BishopOfLincoln,LADIES.KATHERINE,Denny,OldLady,Butts,ALDERMEN,Garter,LordMayor,ElizabethI.Infant,GENTLEMEN.X,LADIES.KATHERINE.Patience,Griffith,Messenger,Capuchius,SERVANTS.PORTER.1,Porter,Page,GENTLEMEN.3,Epilogue
Prologue,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buckingham,0.0,1020.0,1020.0,148.0,148.0,900.0,752.0,752.0,752.0,752.0,752.0,752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk,0.0,0.0,883.0,0.0,0.0,23.0,0.0,0.0,186.0,0.0,0.0,0.0,883.0,257.0,186.0,387.0,903.0,82.0,82.0,82.0,750.0,27.0,476.0,39.0,31.0,31.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abergavenny,0.0,136.0,0.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolsey,0.0,1573.0,42.0,0.0,0.0,42.0,0.0,0.0,1070.0,0.0,404.0,0.0,42.0,1553.0,1501.0,268.0,1531.0,276.0,1022.0,357.0,1558.0,1075.0,1154.0,831.0,404.0,0.0,107.0,0.0,0.0,42.0,81.0,404.0,404.0,404.0,404.0,132.0,167.0,431.0,431.0,431.0,310.0,431.0,431.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SECRETARIES.0.1,0.0,14.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon,0.0,108.0,108.0,0.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergeant,0.0,38.0,38.0,38.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HenryVIII,0.0,2075.0,0.0,0.0,0.0,759.0,0.0,0.0,1653.0,0.0,185.0,0.0,0.0,0.0,2269.0,2473.0,2214.0,337.0,658.0,698.0,1272.0,1039.0,1087.0,536.0,844.0,536.0,628.0,1483.0,659.0,0.0,361.0,408.0,185.0,185.0,185.0,0.0,185.0,835.0,835.0,835.0,35.0,1058.0,835.0,0.0,42.0,38.0,123.0,223.0,223.0,223.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Katherine,0.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,1251.0,1251.0,2369.0,452.0,359.0,0.0,452.0,0.0,1917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,799.0,799.0,799.0,799.0,799.0,799.0,1218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1091.0,1091.0,63.0,555.0,0.0,0.0,0.0,0.0,0.0
