,Francisco,Marcellus,Horatio,Ghost,Barnardo,Hamlet,ATTENDANTS.1,Gertrude,ATTENDANTS,SAILORS,Gravedigger,Laertes,Doctor,Claudius,Ophelia,Osric,AMBASSADORS,SOLDIERS.FORTINBRAS,Fortinbras,Polonius,Voltemand,Cornelius,Guildenstern,Rosencrantz,PLAYERS.King,PLAYERS.Lucianus,ATTENDANTS.GUARDS,MESSENGERS.1,MESSENGERS.2,FOLLOWERS.LAERTES,Reynaldo,PLAYERS.1,PLAYERS,PLAYERS.Prologue,PLAYERS.Queen,SOLDIERS.FORTINBRAS.Captain,ATTENDANTS.2,GravediggersCompanion
Barnardo,58.0,212.0,212.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francisco,0.0,32.0,32.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horatio,6.0,1703.0,0.0,211.0,1363.0,1383.0,18.0,297.0,562.0,243.0,82.0,279.0,8.0,279.0,8.0,316.0,198.0,198.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcellus,19.0,0.0,529.0,80.0,412.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claudius,0.0,0.0,678.0,0.0,0.0,1347.0,0.0,2766.0,1029.0,0.0,89.0,2803.0,89.0,21.0,515.0,275.0,0.0,0.0,0.0,1789.0,507.0,507.0,691.0,703.0,30.0,8.0,285.0,320.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cornelius Voltemand,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laertes,0.0,0.0,459.0,0.0,0.0,517.0,0.0,1039.0,459.0,0.0,150.0,0.0,150.0,1364.0,671.0,190.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polonius,0.0,0.0,106.0,0.0,0.0,662.0,0.0,1111.0,1000.0,0.0,0.0,318.0,0.0,1331.0,1151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,359.0,13.0,13.0,0.0,0.0,0.0,0.0,646.0,71.0,117.0,0.0,0.0,0.0,0.0,0.0
Hamlet,0.0,1744.0,6973.0,560.0,510.0,568.0,0.0,3398.0,1758.0,0.0,1313.0,1151.0,314.0,2996.0,1672.0,980.0,0.0,0.0,0.0,4505.0,0.0,0.0,4680.0,4680.0,247.0,110.0,861.0,0.0,0.0,0.0,0.0,593.0,1401.0,47.0,12.0,102.0,45.0,0.0
Gertrude,0.0,0.0,302.0,119.0,0.0,694.0,63.0,0.0,392.0,0.0,100.0,464.0,100.0,878.0,224.0,79.0,0.0,0.0,0.0,624.0,0.0,0.0,181.0,181.0,16.0,6.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
