,COMMONERS,COMMONERS.Carpenter,COMMONERS.Cobbler,Marullus,Flavius,Soothsayer,Cassius,Cicero,Calphurnia,Antony,Brutus,Portia,Casca,Decius,Caesar,SERVANTS.CAESAR.1,Cinna,Ligarius,Trebonius,Metellus,Publius,SENATORS,Artemidorus,Lepidus,Popilius,PETITIONERS,SOLDIERS.BRUTUS.Claudius,SOLDIERS.BRUTUS.Varro,Lucius,PLEBEIANS.0,SERVANTS.OCTAVIUS.1,PLEBEIANS,Octavius,SOLDIERS.ANTONY,Messenger,SOLDIERS.BRUTUS,SOLDIERS.BRUTUS.Titinius,SOLDIERS.BRUTUS.Lucilius,SOLDIERS.BRUTUS.Messala,SOLDIERS.BRUTUS.Cato,SOLDIERS.BRUTUS.Strato,SERVANTS.ANTONY.1,Pindarus,SOLDIERS.CASSIUS,Poet,SOLDIERS.BRUTUS.Volumnius,SOLDIERS.BRUTUS.Labeo,SOLDIERS.BRUTUS.Flavius,SOLDIERS.BRUTUS.Clitus,SOLDIERS.BRUTUS.Dardanus,CinnaPoet
Flavius,188.0,188.0,188.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMMONERS.Carpenter,8.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marullus,265.0,265.0,265.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMMONERS.Cobbler,190.0,190.0,0.0,190.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caesar,145.0,0.0,0.0,358.0,358.0,494.0,707.0,358.0,1032.0,472.0,899.0,358.0,875.0,1148.0,31.0,541.0,517.0,168.0,194.0,517.0,517.0,349.0,349.0,349.0,26.0,349.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Casca,20.0,0.0,0.0,20.0,20.0,36.0,1023.0,306.0,20.0,20.0,797.0,20.0,0.0,144.0,56.0,0.0,136.0,0.0,108.0,124.0,16.0,16.0,16.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calphurnia,6.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,12.0,254.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antony,21.0,0.0,0.0,45.0,45.0,21.0,746.0,45.0,52.0,0.0,823.0,45.0,633.0,633.0,2340.0,7.0,588.0,7.0,588.0,588.0,7.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,2126.0,204.0,1352.0,624.0,339.0,147.0,120.0,120.0,260.0,190.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soothsayer,17.0,0.0,0.0,17.0,17.0,0.0,26.0,17.0,17.0,26.0,26.0,160.0,26.0,26.0,26.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brutus,11.0,0.0,0.0,85.0,85.0,166.0,4195.0,85.0,115.0,694.0,456.0,246.0,1675.0,1587.0,979.0,7.0,1502.0,145.0,1390.0,1502.0,185.0,155.0,155.0,155.0,0.0,155.0,535.0,535.0,1273.0,3281.0,0.0,561.0,98.0,98.0,98.0,643.0,1353.0,893.0,1059.0,197.0,590.0,52.0,320.0,146.0,38.0,561.0,184.0,197.0,377.0,377.0,0.0
Cassius,17.0,0.0,0.0,57.0,57.0,180.0,0.0,57.0,57.0,359.0,3417.0,57.0,1778.0,796.0,464.0,0.0,917.0,0.0,673.0,739.0,163.0,163.0,163.0,163.0,22.0,163.0,0.0,0.0,139.0,1640.0,0.0,0.0,82.0,82.0,82.0,467.0,794.0,520.0,584.0,0.0,0.0,0.0,331.0,48.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
Cicero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cinna,0.0,0.0,0.0,0.0,0.0,47.0,176.0,0.0,0.0,0.0,87.0,0.0,176.0,87.0,47.0,0.0,0.0,0.0,40.0,87.0,47.0,47.0,47.0,47.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,51.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Decius,0.0,0.0,0.0,0.0,0.0,46.0,171.0,0.0,232.0,18.0,171.0,0.0,171.0,0.0,285.0,232.0,171.0,0.0,143.0,171.0,46.0,46.0,46.0,46.0,18.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metellus,0.0,0.0,0.0,0.0,0.0,63.0,144.0,0.0,0.0,0.0,144.0,0.0,144.0,144.0,63.0,0.0,144.0,0.0,81.0,0.0,63.0,63.0,63.0,63.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trebonius,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,25.0,25.0,79.0,0.0,79.0,79.0,50.0,0.0,79.0,25.0,0.0,79.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portia,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ligarius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.CAESAR.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Publius,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,6.0,12.0,0.0,12.0,12.0,12.0,6.0,12.0,6.0,12.0,12.0,0.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artemidorus,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0,42.0,42.0,0.0,42.0,42.0,42.0,0.0,42.0,0.0,42.0,42.0,42.0,42.0,142.0,42.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Popilius,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,17.0,17.0,0.0,17.0,17.0,17.0,0.0,17.0,0.0,17.0,17.0,17.0,17.0,17.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.ANTONY.1,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,154.0,0.0,154.0,154.0,154.0,0.0,154.0,0.0,154.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.OCTAVIUS.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLEBEIANS,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,131.0,27.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLEBEIANS.0.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,155.0,38.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
PLEBEIANS.0.2,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,135.0,37.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
