,Salisbury,Chatillion,Essex,Pembroke,QueenEleanor,Sheriff,Bastard,RobertFaulconbridge,Austria,KingPhilip,Arthur,Dauphin,Blanche,SOLDIERS.ENGLISH,ATTENDANTS.FRENCH,Constance,SOLDIERS.FRENCH,CITIZENS,HERALDS.FRENCH,HERALDS.ENGLISH,ATTENDANTS,Pandulph,Hubert,ATTENDANTS.ENGLISH,MESSENGERS.ENGLISH.1,Peter,KingJohn,PrinceHenry,Bigot,Gurney,LadyFaulconbridge,Melun,MESSENGERS.FRENCH.1,EXECUTIONERS,SOLDIERS.1
KingJohn,2310.0,646.0,544.0,1568.0,2482.0,32.0,2142.0,360.0,1304.0,1304.0,1965.0,1304.0,1304.0,970.0,970.0,1304.0,970.0,828.0,460.0,460.0,334.0,430.0,1675.0,936.0,440.0,119.0,56.0,268.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0
Chatillion,134.0,0.0,134.0,134.0,134.0,0.0,0.0,0.0,220.0,220.0,220.0,220.0,0.0,0.0,220.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QueenEleanor,540.0,113.0,297.0,227.0,0.0,0.0,419.0,169.0,243.0,243.0,274.0,243.0,243.0,218.0,218.0,243.0,218.0,114.0,114.0,114.0,25.0,25.0,31.0,31.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,29.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bastard,2972.0,207.0,1057.0,1825.0,2007.0,0.0,384.0,1057.0,893.0,893.0,1533.0,1381.0,893.0,1291.0,803.0,893.0,1291.0,691.0,596.0,596.0,90.0,558.0,890.0,57.0,202.0,131.0,3002.0,357.0,1022.0,139.0,412.0,488.0,0.0,0.0,0.0
RobertFaulconbridge,209.0,0.0,209.0,0.0,209.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LadyFaulconbridge,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0
Gurney,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Dauphin,983.0,52.0,0.0,910.0,227.0,0.0,302.0,0.0,335.0,382.0,335.0,0.0,227.0,910.0,471.0,335.0,1018.0,102.0,102.0,102.0,73.0,692.0,0.0,0.0,0.0,0.0,227.0,0.0,756.0,0.0,0.0,756.0,86.0,0.0,0.0
Arthur,42.0,31.0,0.0,31.0,43.0,0.0,43.0,0.0,84.0,84.0,109.0,84.0,31.0,31.0,84.0,95.0,84.0,0.0,0.0,0.0,0.0,0.0,997.0,12.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0
Austria,134.0,66.0,0.0,60.0,134.0,0.0,134.0,0.0,0.0,305.0,305.0,305.0,134.0,60.0,231.0,305.0,231.0,33.0,27.0,27.0,74.0,42.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constance,1783.0,367.0,0.0,367.0,1099.0,0.0,1099.0,0.0,1183.0,1918.0,1867.0,1918.0,1099.0,367.0,1186.0,0.0,451.0,0.0,0.0,0.0,732.0,1039.0,0.0,0.0,0.0,0.0,1099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KingPhilip,1505.0,752.0,0.0,1036.0,1505.0,0.0,1473.0,0.0,1616.0,0.0,1616.0,1871.0,1505.0,1036.0,1402.0,1717.0,1147.0,706.0,331.0,331.0,469.0,619.0,0.0,0.0,0.0,0.0,1505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blanche,427.0,19.0,0.0,153.0,427.0,0.0,427.0,0.0,427.0,427.0,427.0,427.0,0.0,153.0,153.0,427.0,153.0,134.0,134.0,134.0,274.0,274.0,0.0,0.0,0.0,0.0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITIZENS.0.1,536.0,93.0,0.0,536.0,536.0,0.0,536.0,0.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,622.0,529.0,529.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERALDS.FRENCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERALDS.ENGLISH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salisbury,0.0,0.0,0.0,1416.0,0.0,0.0,596.0,0.0,0.0,0.0,574.0,280.0,0.0,280.0,0.0,57.0,280.0,0.0,0.0,0.0,0.0,0.0,200.0,249.0,0.0,0.0,410.0,190.0,1138.0,0.0,0.0,431.0,0.0,0.0,151.0
Pandulph,753.0,0.0,0.0,129.0,624.0,0.0,655.0,0.0,624.0,655.0,624.0,1397.0,624.0,129.0,31.0,644.0,129.0,0.0,0.0,0.0,624.0,0.0,0.0,102.0,0.0,0.0,726.0,0.0,129.0,0.0,0.0,129.0,0.0,0.0,0.0
Hubert,193.0,0.0,0.0,193.0,61.0,0.0,493.0,0.0,0.0,0.0,685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,387.0,0.0,193.0,0.0,0.0,0.0,0.0,107.0,0.0
EXECUTIONERS.0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
Pembroke,719.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,517.0,0.0,0.0,517.0,47.0,186.0,0.0,0.0,7.0,0.0,0.0,7.0
MESSENGERS.ENGLISH.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peter,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
