,Berowne,Longaville,Dumaine,Costard,Dull,Rosaline,Princess,Boyet,Katherine,LORDS,Maria,Jaquenetta,BLACKAMOORS,MUSICIANS,Boy,Armado,Marcade,King,Holofernes,Nathaniel,Forester
King,3059.0,2847.0,2833.0,675.0,548.0,1173.0,1173.0,1198.0,1173.0,429.0,1173.0,107.0,183.0,183.0,20.0,31.0,220.0,0.0,0.0,0.0,0.0
Longaville,642.0,0.0,418.0,90.0,31.0,206.0,206.0,206.0,206.0,0.0,206.0,14.0,77.0,77.0,45.0,33.0,23.0,642.0,12.0,0.0,0.0
Dumaine,723.0,723.0,0.0,187.0,0.0,302.0,302.0,302.0,302.0,0.0,302.0,24.0,32.0,32.0,159.0,111.0,62.0,723.0,55.0,0.0,0.0
Berowne,581.0,4988.0,4851.0,761.0,133.0,1806.0,1806.0,1806.0,1806.0,72.0,1806.0,136.0,163.0,163.0,231.0,101.0,361.0,5018.0,108.0,33.0,0.0
Dull,72.0,72.0,72.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,105.0,105.0,0.0,72.0,162.0,162.0,0.0
Costard,1135.0,959.0,959.0,223.0,528.0,738.0,738.0,798.0,738.0,128.0,798.0,57.0,0.0,0.0,606.0,606.0,0.0,959.0,162.0,307.0,128.0
Armado,482.0,482.0,482.0,1101.0,488.0,482.0,482.0,482.0,482.0,0.0,482.0,48.0,0.0,0.0,1820.0,262.0,171.0,482.0,461.0,461.0,0.0
Boy,129.0,129.0,129.0,411.0,203.0,129.0,129.0,129.0,129.0,0.0,129.0,0.0,94.0,94.0,0.0,1371.0,0.0,129.0,203.0,203.0,0.0
Jaquenetta,33.0,33.0,33.0,150.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,33.0,84.0,84.0,0.0
Boyet,437.0,469.0,418.0,812.0,0.0,2156.0,2040.0,0.0,2040.0,713.0,2223.0,0.0,167.0,167.0,162.0,70.0,0.0,408.0,61.0,29.0,485.0
Princess,1248.0,1248.0,1248.0,259.0,0.0,2842.0,0.0,2547.0,2842.0,1068.0,2842.0,0.0,47.0,47.0,52.0,55.0,472.0,1248.0,10.0,12.0,532.0
LORDS.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maria,49.0,49.0,49.0,59.0,0.0,340.0,324.0,184.0,324.0,119.0,0.0,0.0,23.0,23.0,0.0,0.0,26.0,49.0,0.0,0.0,0.0
Katherine,173.0,173.0,173.0,0.0,0.0,520.0,520.0,278.0,0.0,77.0,520.0,0.0,94.0,94.0,0.0,0.0,79.0,173.0,0.0,0.0,0.0
Rosaline,968.0,918.0,918.0,105.0,0.0,0.0,1595.0,1241.0,1595.0,177.0,1700.0,0.0,298.0,298.0,0.0,0.0,246.0,918.0,0.0,0.0,0.0
Forester,0.0,0.0,0.0,0.0,0.0,62.0,62.0,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathaniel,57.0,57.0,57.0,252.0,605.0,57.0,57.0,57.0,57.0,0.0,57.0,178.0,0.0,0.0,17.0,17.0,0.0,57.0,605.0,0.0,0.0
Holofernes,150.0,150.0,150.0,912.0,1606.0,150.0,150.0,150.0,150.0,0.0,150.0,425.0,0.0,0.0,487.0,337.0,0.0,150.0,0.0,1606.0,0.0
Marcade,42.0,42.0,42.0,42.0,0.0,42.0,42.0,42.0,42.0,0.0,42.0,0.0,0.0,0.0,42.0,42.0,0.0,42.0,0.0,0.0,0.0
Spring,123.0,123.0,123.0,123.0,0.0,123.0,123.0,123.0,123.0,0.0,123.0,0.0,0.0,0.0,123.0,123.0,123.0,123.0,123.0,123.0,0.0
Winter,123.0,123.0,123.0,123.0,0.0,123.0,123.0,123.0,123.0,0.0,123.0,0.0,0.0,0.0,123.0,123.0,123.0,123.0,123.0,123.0,0.0
