,Edmund,Gloucester,Lear,Cordelia,Cornwall,Regan,Goneril,ATTENDANTS,Albany,ATTENDANTS.0,ATTENDANTS.LEAR,ATTENDANTS.LEAR.0.3,Oswald,Fool,ATTENDANTS.X.1,SERVANTS,ATTENDANTS.X.2,ATTENDANTS.X.3,Edgar,ATTENDANTS.X.4,Doctor,ATTENDANTS.CORDELIA.1,SERVANTS.CORDELIA,SOLDIERS.CAPTAINS.2,SOLDIERS,Herald,MESSENGERS.X.3,Kent,France,Burgundy,ATTENDANTS.REGAN,SERVANTS.0,OldMan,Curan,SOLDIERS.REGAN,SOLDIERS.GONERIL,SOLDIERS.CAPTAINS.1,ATTENDANTS.ALBANY,MESSENGERS.X.1,SOLDIERS.CORDELIA,ATTENDANTS.CORDELIA,MESSENGERS.X.2
Kent,901.0,767.0,1450.0,576.0,818.0,1001.0,504.0,321.0,522.0,2959.0,257.0,2710.0,834.0,725.0,16.0,497.0,242.0,388.0,420.0,245.0,78.0,291.0,14.0,201.0,201.0,201.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucester,1405.0,0.0,544.0,17.0,567.0,567.0,63.0,17.0,17.0,3035.0,0.0,2455.0,208.0,434.0,0.0,505.0,54.0,0.0,1357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838.0,10.0,10.0,85.0,329.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edmund,0.0,777.0,27.0,27.0,174.0,462.0,456.0,0.0,611.0,2985.0,0.0,1790.0,18.0,0.0,0.0,58.0,0.0,0.0,823.0,0.0,0.0,0.0,0.0,555.0,582.0,355.0,0.0,153.0,0.0,0.0,130.0,0.0,0.0,27.0,98.0,17.0,147.0,16.0,0.0,0.0,0.0,0.0
Lear,1344.0,2810.0,0.0,2037.0,2238.0,2607.0,2755.0,1142.0,1995.0,6448.0,998.0,5957.0,767.0,3801.0,103.0,1096.0,1536.0,0.0,2039.0,0.0,324.0,828.0,459.0,369.0,571.0,369.0,83.0,5269.0,286.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0
Goneril,461.0,106.0,489.0,112.0,231.0,556.0,0.0,79.0,720.0,1773.0,319.0,1324.0,650.0,443.0,0.0,152.0,91.0,0.0,62.0,0.0,0.0,0.0,0.0,129.0,129.0,62.0,0.0,489.0,33.0,0.0,55.0,0.0,0.0,0.0,55.0,55.0,0.0,0.0,47.0,0.0,0.0,0.0
Cordelia,363.0,129.0,614.0,0.0,316.0,419.0,419.0,316.0,316.0,865.0,0.0,633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,371.0,251.0,0.0,47.0,0.0,0.0,558.0,232.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,100.0,215.0,66.0
Regan,624.0,981.0,550.0,76.0,1087.0,0.0,665.0,69.0,250.0,1673.0,0.0,1610.0,729.0,481.0,0.0,804.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,156.0,0.0,0.0,613.0,7.0,0.0,331.0,172.0,0.0,0.0,117.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Albany Cornwall,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burgundy,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,280.0,280.0,280.0,294.0,280.0,294.0,294.0,280.0,280.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
