,Escalus,ATTENDANTS,Angelo,FriarThomas,Provost,Juliet,Claudio,Isabella,Pompey,OFFICERS,Elbow,Lucio,Duke,Mariana,Messenger,Barnardine,Abhorson,FriarPeter,Varrius,CITIZENS,OFFICERS.0.1,OFFICERS.0.2,Justice,SERVANTS,Froth,Bawd,SERVANTS.1,GENTLEMEN.2,GENTLEMEN.1,Nun,OFFICERS.1,Boy
Duke,3354.0,3069.0,2708.0,472.0,4407.0,695.0,1171.0,3538.0,317.0,2698.0,221.0,3014.0,355.0,1881.0,10.0,576.0,96.0,2249.0,2511.0,2477.0,1544.0,1544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escalus,0.0,525.0,855.0,0.0,542.0,0.0,0.0,310.0,624.0,1296.0,754.0,427.0,662.0,409.0,0.0,0.0,0.0,409.0,427.0,427.0,310.0,310.0,984.0,984.0,398.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0
Angelo,1060.0,478.0,432.0,0.0,905.0,0.0,0.0,1436.0,106.0,486.0,106.0,796.0,456.0,330.0,0.0,0.0,0.0,372.0,380.0,380.0,167.0,167.0,330.0,330.0,106.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0
Lucio,579.0,579.0,760.0,0.0,866.0,285.0,285.0,1177.0,383.0,1152.0,383.0,0.0,1738.0,436.0,0.0,95.0,0.0,579.0,579.0,579.0,289.0,289.0,0.0,0.0,0.0,123.0,0.0,492.0,302.0,545.0,0.0,0.0
GENTLEMEN.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,228.0,0.0,0.0,0.0,0.0
GENTLEMEN.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,93.0,0.0,0.0,0.0
Bawd,85.0,0.0,0.0,0.0,97.0,12.0,12.0,0.0,87.0,97.0,0.0,86.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,86.0,86.0,0.0,0.0,0.0
Pompey,821.0,0.0,420.0,0.0,173.0,18.0,18.0,0.0,193.0,990.0,972.0,74.0,151.0,0.0,0.0,30.0,291.0,0.0,0.0,0.0,0.0,0.0,821.0,821.0,615.0,164.0,0.0,0.0,0.0,0.0,253.0,0.0
Claudio,0.0,0.0,0.0,0.0,620.0,535.0,0.0,376.0,0.0,535.0,0.0,462.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,0.0,0.0,24.0,0.0
Provost,150.0,106.0,233.0,0.0,0.0,89.0,174.0,166.0,217.0,146.0,0.0,142.0,944.0,106.0,6.0,32.0,103.0,106.0,106.0,106.0,106.0,106.0,9.0,9.0,0.0,14.0,70.0,9.0,0.0,0.0,358.0,0.0
FriarThomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isabella,769.0,769.0,2116.0,0.0,1616.0,0.0,645.0,158.0,0.0,769.0,0.0,1788.0,1328.0,237.0,0.0,0.0,0.0,751.0,769.0,769.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,0.0
Nun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elbow,611.0,0.0,323.0,0.0,0.0,0.0,0.0,0.0,743.0,808.0,0.0,35.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,611.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Froth,83.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,83.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justice,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
