,Philostrate,Hippolyta,ATTENDANTS,Egeus,Lysander,Hermia,Demetrius,Bottom,Helena,Snout,Starveling,Snug,Flute,Quince,Theseus,Titania,Oberon,RobinGoodfellow,FAIRIES.OBERON,FAIRIES.TITANIA.Peaseblossom,FAIRIES.TITANIA.Mustardseed,FAIRIES.TITANIA.Cobweb,FAIRIES.TITANIA.Mote,FAIRIES.TITANIA.1,FAIRIES.TITANIA,FAIRIES
Theseus,1153.0,2162.0,2162.0,840.0,1850.0,1850.0,1850.0,668.0,1397.0,43.0,182.0,160.0,184.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hippolyta,216.0,0.0,308.0,65.0,214.0,214.0,214.0,111.0,214.0,0.0,39.0,29.0,21.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egeus,0.0,383.0,383.0,0.0,383.0,383.0,383.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hermia,0.0,117.0,117.0,117.0,1172.0,0.0,925.0,22.0,742.0,0.0,0.0,0.0,0.0,0.0,117.0,272.0,760.0,819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demetrius,222.0,408.0,408.0,186.0,926.0,788.0,0.0,344.0,1037.0,30.0,122.0,122.0,66.0,15.0,408.0,26.0,722.0,628.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lysander,104.0,329.0,329.0,225.0,81.0,1525.0,856.0,133.0,962.0,0.0,23.0,16.0,11.0,0.0,329.0,443.0,516.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Helena,0.0,0.0,0.0,0.0,1600.0,1329.0,1487.0,24.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,1419.0,1117.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quince,356.0,356.0,356.0,0.0,356.0,356.0,356.0,994.0,356.0,1112.0,1112.0,1057.0,1112.0,0.0,356.0,359.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottom,574.0,574.0,574.0,0.0,836.0,836.0,836.0,229.0,836.0,1435.0,1404.0,1142.0,1270.0,1142.0,574.0,1160.0,262.0,72.0,0.0,408.0,408.0,244.0,408.0,0.0,0.0,0.0
Flute,279.0,279.0,279.0,0.0,279.0,279.0,279.0,297.0,279.0,353.0,248.0,194.0,0.0,233.0,279.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
