,Solanio,Salarino,Bassanio,Lorenzo,Gratiano,Shylock,Jailer,Duke,ATTENDANTS.DUKE,Salerio,Nerissa,Portia,ATTENDANTS.DUKE.0,ATTENDANTS.BASSANIO,MUSICIANS,ATTENDANTS.PORTIA.Stephano,Jessica,Antonio,SERVANTS.2,Tubal,ATTENDANTS.BASSANIO.Leonardo,ATTENDANTS.BASSANIO.2,OldGobbo,ATTENDANTS.BASSANIO.1,LanceletGobbo,ATTENDANTS.PORTIA,ATTENDANTS.PORTIA.Balthazar,SERVANTS.1,ATTENDANTS.MOROCCO,Morocco,ATTENDANTS.ARRAGON,Arragon,Messenger
Antonio,317.0,150.0,1401.0,179.0,828.0,855.0,167.0,549.0,549.0,595.0,417.0,417.0,446.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salarino,799.0,0.0,38.0,77.0,108.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solanio,0.0,652.0,0.0,25.0,25.0,61.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bassanio,24.0,24.0,0.0,871.0,2401.0,386.0,0.0,276.0,276.0,954.0,2074.0,2064.0,837.0,1696.0,410.0,410.0,840.0,1446.0,0.0,0.0,214.0,166.0,166.0,50.0,166.0,1286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lorenzo,142.0,356.0,124.0,0.0,585.0,0.0,0.0,0.0,0.0,48.0,235.0,235.0,677.0,62.0,264.0,543.0,1203.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,48.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0
Gratiano,15.0,163.0,1489.0,770.0,0.0,349.0,0.0,349.0,349.0,406.0,1054.0,909.0,601.0,667.0,359.0,359.0,416.0,1050.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portia,0.0,0.0,3286.0,1702.0,3372.0,1140.0,0.0,1170.0,1170.0,1672.0,5713.0,0.0,2572.0,1885.0,1040.0,1040.0,1702.0,2165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1552.0,391.0,83.0,220.0,220.0,93.0,93.0,59.0
Nerissa,0.0,0.0,344.0,270.0,397.0,54.0,0.0,54.0,54.0,54.0,0.0,803.0,344.0,290.0,270.0,270.0,270.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
SERVANTS.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shylock,538.0,366.0,2270.0,0.0,1006.0,0.0,172.0,1006.0,1006.0,1006.0,524.0,459.0,459.0,0.0,0.0,0.0,310.0,2158.0,0.0,390.0,0.0,0.0,0.0,0.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
