,WITCHES.3,WITCHES.2,Macbeth,Banquo,Hecate,SPIRITS.1,WITCHES.1,SPIRITS.3,Donalbain,Malcolm,ATTENDANTS,Lennox,SOLDIERS.Captain,Ross,Angus,Macduff,LadyMacbeth,Duncan,Doctor1,YoungSiward,Menteith,SOLDIERS.MALCOLM,Caithness,Siward,Lord,OldMan,LadyMacduff,MacduffsSon,Fleance,SERVANTS.X.1,SERVANTS.X.2,MURDERERS.1,MURDERERS.2,SPIRITS.2,SPIRITS.KINGS,Doctor2,SERVANTS.X.4,Seyton,SOLDIERS.MACBETH,MESSENGERS.3,MURDERERS.3,MESSENGERS.1,SERVANTS.X.3,Gentlewoman,Porter,MURDERERS
WITCHES.1,484.0,484.0,185.0,36.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WITCHES.2,192.0,0.0,37.0,29.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WITCHES.3,0.0,187.0,46.0,37.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WITCHES.1 WITCHES.2 WITCHES.3,169.0,169.0,50.0,0.0,0.0,0.0,169.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duncan,0.0,0.0,145.0,357.0,0.0,0.0,0.0,0.0,611.0,611.0,611.0,611.0,84.0,408.0,408.0,164.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malcolm,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,256.0,0.0,324.0,174.0,40.0,456.0,154.0,1580.0,42.0,132.0,23.0,147.0,147.0,339.0,147.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLDIERS.Captain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,288.0,288.0,288.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lennox,0.0,0.0,245.0,85.0,0.0,0.0,0.0,0.0,73.0,73.0,63.0,0.0,0.0,116.0,84.0,66.0,96.0,20.0,0.0,0.0,64.0,64.0,64.0,0.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross,0.0,0.0,186.0,179.0,0.0,0.0,0.0,0.0,134.0,553.0,261.0,176.0,0.0,0.0,278.0,409.0,42.0,134.0,0.0,0.0,0.0,85.0,0.0,85.0,0.0,221.0,175.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macbeth,632.0,632.0,424.0,1620.0,0.0,8.0,632.0,0.0,329.0,329.0,1713.0,1644.0,0.0,1733.0,478.0,475.0,2303.0,156.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,433.0,500.0,765.0,573.0,10.0,143.0,533.0,160.0,614.0,430.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0
Banquo,196.0,196.0,683.0,104.0,0.0,0.0,196.0,0.0,149.0,149.0,174.0,244.0,0.0,367.0,202.0,157.0,186.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,121.0,95.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0
