,Gower,SERVANTS.CERIMON.0.2,LORDS.MYTILENE.0.1,Pericles,FOLLOWERS.ANTIOCHUS,Daughter,Antiochus,Thaliard,ATTENDANTS.PERICLES.1,LORDS.TYRE,Helicanus,ATTENDANTS.PERICLES,CITIZENS.TARSUS,Dionyza,Cleon,FISHERMEN.1,FISHERMEN.3,FISHERMEN.2,Thaisa,ATTENDANTS.SIMONIDES,KNIGHTS,LORDS.PENTAPOLIS,Marshal,LADIES.PENTAPOLIS,Simonides,Marina.Infant,Lychorida,SAILORS.1,SAILORS.2,Companion,Lysimachus,LORDS.MYTILENE,Marina,GENTLEMEN.TYRE,SAILORS.TYRE.1,SAILORS.MYTILENE.1,PRIESTESSES,Cerimon,LORDS.TYRE.Escanes,LORDS.TARSUS.1,Leonine,SERVANTS.CERIMON,GENTLEMEN.EPHESUS.1,GENTLEMEN.EPHESUS.2,SUPPLIANTS.2,SUPPLIANTS.1,Philemon,Bawd,Bolt,Pander,PIRATES,GENTLEMEN.MYTILENE.2,GENTLEMEN.MYTILENE.1
Gower,1242.0,1404.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antiochus,0.0,0.0,0.0,395.0,395.0,319.0,63.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pericles,0.0,1798.0,1547.0,463.0,744.0,719.0,744.0,0.0,324.0,44.0,2128.0,739.0,159.0,410.0,410.0,659.0,586.0,586.0,758.0,221.0,221.0,221.0,221.0,221.0,494.0,662.0,587.0,262.0,262.0,952.0,1532.0,952.0,1532.0,952.0,952.0,952.0,493.0,493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daughter,0.0,0.0,0.0,21.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thaliard,0.0,0.0,0.0,0.0,0.0,0.0,40.0,119.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.ANTIOCH.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LORDS.TYRE.0.1,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LORDS.TYRE.0.2,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Helicanus,0.0,330.0,73.0,462.0,0.0,0.0,0.0,175.0,0.0,458.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,295.0,283.0,73.0,302.0,318.0,299.0,9.0,9.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleon,0.0,312.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,672.0,984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dionyza,0.0,719.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
