,Gaunt,LORDS,ATTENDANTS,HenryIV_1H4,Mowbray,HERALDS.1,OFFICERS,Aumerle,LordMarshal,HERALDS.2,Green,Bagot,Bushy,Queen,ATTENDANTS.GAUNT,York,Ross,Willoughby,Northumberland,BishopOfCarlisle,SOLDIERS.RICHARD,Salisbury,Scroop,ATTENDANTS.HENRY,SOLDIERS.HENRY,Hotspur,AbbotOfWestminster,LORDS.1,OFFICERS.0,Surrey,Fitzwater,HERALDS.X,OFFICERS.0.1,LADIES,Groom,Jailer,SERVANTS.EXTON,Exton,RichardII,DuchessOfGloucester,Berkeley,DuchessOfYork,SERVANTS.YORK.1,SERVANTS.GARDENER.2,SERVANTS.GARDENER.1,Gardener,WelshCaptain
RichardII,1423.0,1286.0,559.0,3476.0,1012.0,727.0,2716.0,5327.0,727.0,692.0,795.0,2141.0,485.0,1060.0,137.0,2706.0,417.0,417.0,2991.0,2772.0,1426.0,948.0,796.0,1033.0,1033.0,2379.0,1346.0,1346.0,1346.0,1346.0,1346.0,1346.0,1825.0,643.0,192.0,162.0,109.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaunt,0.0,392.0,73.0,637.0,89.0,319.0,319.0,1124.0,599.0,319.0,525.0,525.0,525.0,525.0,1003.0,1003.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HenryIV_1H4,1269.0,1579.0,552.0,0.0,989.0,467.0,807.0,1498.0,717.0,467.0,332.0,295.0,332.0,0.0,0.0,1972.0,446.0,446.0,1997.0,590.0,0.0,0.0,0.0,495.0,495.0,1707.0,340.0,340.0,278.0,340.0,612.0,340.0,935.0,0.0,0.0,0.0,186.0,186.0,1179.0,0.0,380.0,136.0,0.0,0.0,0.0,0.0,0.0
Mowbray,1269.0,1269.0,778.0,1173.0,0.0,491.0,491.0,491.0,491.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DuchessOfGloucester,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LordMarshal,249.0,220.0,0.0,195.0,220.0,220.0,220.0,278.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aumerle,23.0,26.0,0.0,456.0,0.0,0.0,262.0,0.0,54.0,0.0,136.0,398.0,0.0,0.0,0.0,192.0,0.0,0.0,293.0,407.0,127.0,76.0,52.0,31.0,31.0,319.0,280.0,262.0,262.0,262.0,262.0,262.0,272.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0
HERALDS.1,62.0,62.0,0.0,62.0,62.0,0.0,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERALDS.2,63.0,63.0,0.0,63.0,63.0,63.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green,0.0,19.0,0.0,19.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,281.0,252.0,150.0,0.0,27.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
