,RichardIII,Clarence_3H6,GUARDS,Brakenbury,Hastings_3H6,GENTLEMEN,HenryVI_1H6,LadyAnne,QueenElizabeth_3H6,Buckingham,Stanley,Grey,Rivers_3H6,Dorset,QueenMargaret_1H6,MURDERERS.1,MURDERERS.2,Ratcliffe,Woodeville,EdwardIV_3H6,Scales,DuchessOfYork,ClarencesDaughter,ClarencesBoy,Cardinal,EdwardV,ATTENDANTS,Catesby,ATTENDANTS.0,MayorOfLondon,York,Lovell,Norfolk,BishopOfEly,BISHOPS,CITIZENS,CITIZENS.0,ATTENDANTS.0.1,Tyrrel,MESSENGERS.2,MESSENGERS.3,MESSENGERS.1,MESSENGERS.4,Surrey,SOLDIERS.RICHARD,Oxford_3H6,Brandon,Herbert,HenryVII,MESSENGERS.X.3,Jailer,MESSENGERS.X.2,Pursuivant,SirJohn,Vaughan,Archbishop,MESSENGERS.X.1,Sheriff,SirChristopher,ATTENDANTS.RICHMOND,SOLDIERS.RICHMOND,CITIZENS.2,CITIZENS.3,CITIZENS.1,Blunt
RichardIII,610.0,426.0,1916.0,426.0,2300.0,1490.0,1490.0,1126.0,2870.0,3968.0,2250.0,1360.0,1525.0,1751.0,510.0,90.0,90.0,4014.0,342.0,342.0,342.0,350.0,165.0,165.0,289.0,391.0,3383.0,3320.0,6553.0,1096.0,171.0,1617.0,1134.0,257.0,632.0,632.0,4574.0,323.0,201.0,134.0,134.0,134.0,71.0,165.0,1541.0,226.0,226.0,226.0,633.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clarence_3H6,286.0,0.0,197.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,89.0,0.0,624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brakenbury,67.0,220.0,67.0,0.0,0.0,0.0,0.0,61.0,61.0,0.0,0.0,0.0,0.0,61.0,0.0,87.0,87.0,0.0,0.0,0.0,0.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hastings_3H6,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,325.0,387.0,67.0,73.0,73.0,40.0,0.0,0.0,473.0,27.0,27.0,27.0,6.0,6.0,6.0,52.0,52.0,284.0,415.0,1276.0,52.0,0.0,467.0,232.0,232.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,58.0,0.0,0.0,166.0,112.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LadyAnne,898.0,0.0,1115.0,35.0,0.0,1115.0,1115.0,0.0,383.0,0.0,306.0,0.0,0.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,383.0,0.0,0.0,0.0,0.0,0.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENTLEMEN.0.1,19.0,0.0,19.0,0.0,0.0,19.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rivers_3H6,219.0,0.0,172.0,0.0,229.0,0.0,0.0,0.0,306.0,229.0,191.0,384.0,0.0,306.0,64.0,0.0,0.0,244.0,38.0,38.0,38.0,122.0,122.0,122.0,0.0,0.0,0.0,7.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grey,29.0,0.0,53.0,0.0,11.0,0.0,0.0,0.0,85.0,23.0,23.0,0.0,156.0,85.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QueenElizabeth_3H6,1664.0,0.0,0.0,41.0,401.0,0.0,0.0,324.0,0.0,511.0,661.0,587.0,788.0,1112.0,269.0,0.0,0.0,50.0,71.0,71.0,71.0,976.0,525.0,201.0,0.0,0.0,1284.0,1300.0,1856.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,1856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buckingham,2783.0,0.0,264.0,0.0,782.0,0.0,0.0,0.0,429.0,0.0,564.0,254.0,429.0,429.0,62.0,0.0,0.0,777.0,118.0,118.0,118.0,175.0,175.0,175.0,240.0,276.0,604.0,1430.0,3137.0,1442.0,47.0,582.0,115.0,105.0,715.0,946.0,684.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stanley,441.0,0.0,0.0,0.0,257.0,0.0,0.0,118.0,238.0,129.0,0.0,120.0,120.0,427.0,0.0,0.0,0.0,319.0,50.0,50.0,50.0,118.0,118.0,0.0,0.0,0.0,269.0,167.0,941.0,0.0,0.0,94.0,67.0,26.0,0.0,0.0,734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,189.0,189.0,189.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,99.0,99.0,0.0,0.0,0.0,0.0
QueenMargaret_1H6,1282.0,0.0,0.0,0.0,1282.0,0.0,0.0,0.0,2130.0,1282.0,1282.0,1282.0,1282.0,1282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0,0.0,0.0,0.0,0.0,0.0,0.0,917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorset,57.0,0.0,0.0,0.0,74.0,0.0,0.0,26.0,166.0,74.0,61.0,74.0,140.0,0.0,35.0,0.0,0.0,22.0,39.0,39.0,39.0,92.0,92.0,66.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catesby,261.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,24.0,189.0,24.0,24.0,24.0,53.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,543.0,135.0,0.0,19.0,87.0,0.0,36.0,135.0,209.0,19.0,0.0,40.0,40.0,40.0,40.0,0.0,91.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MURDERERS.1,56.0,497.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MURDERERS.1 MURDERERS.2,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jailer,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MURDERERS.2,0.0,514.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EdwardIV_3H6,422.0,0.0,0.0,0.0,672.0,0.0,0.0,0.0,672.0,672.0,359.0,672.0,672.0,672.0,0.0,0.0,0.0,422.0,672.0,0.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClarencesBoy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DuchessOfYork,378.0,0.0,0.0,12.0,22.0,0.0,0.0,173.0,1288.0,22.0,134.0,0.0,303.0,476.0,127.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,596.0,423.0,0.0,0.0,356.0,356.0,710.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
