,Proteus,Speed,Sylvia,Thurio,Duke,Valentine,Lance,OUTLAWS.2,OUTLAWS.3,OUTLAWS.1,Julia,Antonio,Pantino,MUSICIANS,Host,Crab,Lucetta,SERVANTS.1,Eglamour
Valentine,1698.0,1729.0,1219.0,803.0,885.0,331.0,164.0,475.0,475.0,475.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proteus,715.0,779.0,583.0,717.0,649.0,1431.0,644.0,0.0,0.0,0.0,1246.0,157.0,200.0,173.0,302.0,222.0,0.0,0.0,0.0
Speed,466.0,0.0,83.0,21.0,0.0,995.0,500.0,38.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0
Julia,669.0,0.0,935.0,280.0,0.0,189.0,15.0,0.0,0.0,0.0,633.0,0.0,0.0,184.0,281.0,15.0,1139.0,0.0,0.0
Lucetta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0
Pantino,32.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0
Sylvia,566.0,421.0,0.0,220.0,0.0,612.0,0.0,17.0,17.0,27.0,730.0,0.0,0.0,0.0,267.0,0.0,0.0,49.0,305.0
Lance,165.0,892.0,0.0,0.0,0.0,63.0,250.0,0.0,0.0,0.0,102.0,0.0,121.0,0.0,0.0,1441.0,0.0,0.0,0.0
Thurio,352.0,106.0,157.0,0.0,186.0,157.0,0.0,51.0,51.0,51.0,196.0,0.0,0.0,63.0,8.0,0.0,0.0,0.0,0.0
Duke,838.0,165.0,354.0,929.0,0.0,1162.0,0.0,189.0,189.0,189.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.1,12.0,12.0,12.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OUTLAWS.1,0.0,139.0,61.0,0.0,0.0,139.0,0.0,179.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OUTLAWS.2,0.0,121.0,8.0,0.0,0.0,121.0,0.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OUTLAWS.3,0.0,210.0,49.0,0.0,0.0,210.0,0.0,259.0,0.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Host,189.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0
Eglamour,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
OUTLAWS.1 OUTLAWS.2 OUTLAWS.3,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
