,Prologue,Artesius,Hymen,ATTENDANTS,Theseus,Emilia,Hippolyta,Pirithous,NYMPHS,QUEENS.2,QUEENS.3,Boy,SOLDIERS,SOLDIERS.0,QUEENS.1,Herald,Arcite,Palamon,Schoolmaster,Daughter,COUNTRYMEN,COUNTRYWOMEN,ATTENDANTS.1,MESSENGERS.X.1,KNIGHTS.PALAMON,KNIGHTS.ARCITE,Servant,Executioner,Jailer,MESSENGERS.X.3,GUARDS,Woman,MAIDS,Valerius,Wooer,FRIENDS.1,FRIENDS.2,Brother,OTHERS,Doctor,Maid,MESSENGERS.X.2,Taborer
Prologue,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boy,0.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QUEENS.1,0.0,518.0,518.0,527.0,541.0,518.0,518.0,518.0,518.0,562.0,562.0,518.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QUEENS.2,0.0,308.0,308.0,319.0,329.0,308.0,308.0,308.0,308.0,0.0,340.0,308.0,11.0,11.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QUEENS.3,0.0,236.0,236.0,255.0,288.0,236.0,236.0,236.0,236.0,334.0,0.0,236.0,19.0,46.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theseus,0.0,538.0,577.0,3059.0,0.0,2500.0,2657.0,2657.0,577.0,727.0,727.0,577.0,402.0,2365.0,727.0,285.0,1874.0,1311.0,97.0,33.0,33.0,33.0,188.0,134.0,445.0,97.0,316.0,348.0,348.0,348.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hippolyta,0.0,189.0,189.0,486.0,486.0,881.0,0.0,618.0,189.0,189.0,189.0,189.0,0.0,297.0,189.0,0.0,188.0,122.0,7.0,7.0,7.0,7.0,56.0,56.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emilia,0.0,189.0,189.0,1107.0,1107.0,0.0,1592.0,1164.0,189.0,189.0,189.0,189.0,0.0,2781.0,189.0,0.0,927.0,753.0,18.0,18.0,18.0,18.0,90.0,7.0,33.0,0.0,362.0,33.0,33.0,33.0,33.0,254.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QUEENS.1 QUEENS.2 QUEENS.3,0.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,92.0,92.0,22.0,0.0,70.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pirithous,0.0,0.0,18.0,639.0,639.0,693.0,705.0,0.0,18.0,18.0,18.0,18.0,0.0,1050.0,18.0,0.0,254.0,534.0,24.0,10.0,10.0,10.0,314.0,310.0,435.0,6.0,0.0,429.0,429.0,429.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arcite,0.0,0.0,0.0,530.0,530.0,600.0,530.0,530.0,0.0,0.0,0.0,0.0,0.0,4314.0,0.0,0.0,0.0,3776.0,0.0,0.0,51.0,0.0,0.0,0.0,509.0,453.0,31.0,56.0,66.0,56.0,56.0,70.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palamon,0.0,0.0,0.0,514.0,514.0,561.0,514.0,545.0,0.0,0.0,0.0,0.0,0.0,4721.0,0.0,0.0,3646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.0,111.0,0.0,413.0,704.0,122.0,413.0,47.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valerius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herald,0.0,0.0,0.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0,0.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jailer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.0,0.0,0.0,61.0,191.0,0.0,335.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,770.0,226.0,197.0,41.0,41.0,289.0,121.0,31.0,0.0
Wooer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,628.0,0.0,0.0,317.0,135.0,0.0,0.0
Daughter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3338.0,0.0,0.0,47.0,47.0,228.0,0.0,228.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1606.0,0.0,0.0,0.0,0.0,0.0,1642.0,418.0,418.0,418.0,418.0,962.0,525.0,0.0,228.0
Woman,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COUNTRYMEN.0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,105.0,0.0,48.0,11.0,153.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
COUNTRYMEN.0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,0.0,0.0,225.0,0.0,98.0,10.0,323.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0
COUNTRYMEN.0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,152.0,0.0,72.0,49.0,224.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
