,ATTENDANTS.ORSINO,MUSICIANS,ATTENDANTS.ORSINO.Curio,ATTENDANTS.ORSINO.Valentine,Viola,Feste,Fabian,OFFICERS.2,Antonio,OFFICERS.1,Olivia,ATTENDANTS.OLIVIA,Priest,AndrewAguecheek,TobyBelch,Sebastian,Malvolio,Orsino,SAILORS,Captain,Maria,ATTENDANTS.OLIVIA.1
Orsino,1916.0,796.0,1758.0,334.0,1773.0,426.0,709.0,735.0,735.0,735.0,607.0,607.0,347.0,17.0,12.0,270.0,6.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.ORSINO.Curio,56.0,56.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0
ATTENDANTS.ORSINO.Valentine,81.0,81.0,81.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0
Viola,570.0,66.0,504.0,135.0,356.0,202.0,662.0,538.0,538.0,538.0,1318.0,719.0,266.0,407.0,522.0,226.0,30.0,809.0,306.0,306.0,369.0,0.0
Captain,0.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0
TobyBelch,68.0,0.0,68.0,0.0,598.0,716.0,2026.0,78.0,107.0,78.0,148.0,131.0,68.0,2355.0,0.0,82.0,558.0,68.0,0.0,0.0,1462.0,0.0
Maria,0.0,0.0,0.0,0.0,13.0,644.0,524.0,0.0,0.0,0.0,130.0,57.0,0.0,693.0,1203.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0
AndrewAguecheek,185.0,0.0,185.0,0.0,283.0,440.0,579.0,218.0,218.0,218.0,217.0,185.0,185.0,0.0,1407.0,64.0,71.0,185.0,0.0,0.0,374.0,0.0
Feste,776.0,223.0,776.0,0.0,1188.0,279.0,595.0,255.0,255.0,255.0,733.0,733.0,255.0,321.0,605.0,422.0,1064.0,776.0,0.0,0.0,482.0,0.0
Olivia,637.0,0.0,637.0,0.0,1855.0,663.0,708.0,637.0,637.0,637.0,153.0,1269.0,516.0,225.0,260.0,635.0,693.0,637.0,0.0,0.0,612.0,49.0
Malvolio,180.0,0.0,180.0,0.0,326.0,884.0,1340.0,180.0,180.0,180.0,712.0,501.0,180.0,1286.0,1518.0,180.0,239.0,180.0,0.0,0.0,627.0,0.0
Antonio,248.0,0.0,248.0,0.0,563.0,0.0,531.0,500.0,49.0,500.0,32.0,32.0,32.0,315.0,315.0,412.0,0.0,248.0,0.0,0.0,0.0,0.0
Sebastian,302.0,0.0,302.0,0.0,302.0,89.0,65.0,302.0,833.0,302.0,377.0,302.0,324.0,65.0,65.0,209.0,0.0,302.0,0.0,0.0,0.0,0.0
Fabian,230.0,0.0,230.0,0.0,395.0,262.0,0.0,244.0,244.0,244.0,251.0,230.0,230.0,605.0,756.0,230.0,387.0,230.0,0.0,0.0,176.0,0.0
ATTENDANTS.OLIVIA.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,0.0
OFFICERS.1,55.0,0.0,55.0,0.0,135.0,0.0,135.0,135.0,135.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0
OFFICERS.2,0.0,0.0,0.0,0.0,33.0,0.0,33.0,0.0,33.0,33.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Priest,71.0,0.0,71.0,0.0,71.0,0.0,71.0,71.0,71.0,71.0,71.0,71.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0
