,Painter,Merchant,Jeweler,SENATORS,SERVANTS.TIMON,Timon,Apemantus,SERVANTS.TIMON.0,Poet,MESSENGERS.X.1,SERVANTS.TIMON.Lucilius,OldMan,MESSENGERS.X.2,ATTENDANTS.ALCIBIADES,Alcibiades,FRIENDS.Ventidius,FRIENDS.Lucius,LORDS,ATTENDANTS.TIMON,Flavius,SERVANTS.TIMON.X.1,Cupid,LADIES,SERVANTS.TIMON.1,SERVANTS.TIMON.2,SERVANTS.TIMON.3,SERVANTS.Caphis,ATTENDANTS,SERVANTS.VARRO.1,SERVANTS.ISIDORE.1,SERVANTS.TIMON.Flaminius,SERVANTS.TIMON.Servilius,SERVANTS.TIMON.X.2,SERVANTS.Philotus,SERVANTS.LUCIUS.1,SERVANTS.VARRO.2,SERVANTS.Titus,SERVANTS.Hortensius,FRIENDS,Phrynia,Timandra,BANDITS.3,BANDITS.2,BANDITS.1,SENATORS.1,SENATORS.2,Fool,SERVANTS.Page,SOLDIERS,SOLDIERS.1,STRANGERS.3,STRANGERS.1,STRANGERS.2,SENATORS.X,SERVANTS.LUCULLUS.1,FRIENDS.Lucullus,FRIENDS.Sempronius,SENATORS.3,SENATORS.4,MESSENGERS.X.3
Poet,884.0,667.0,667.0,439.0,46.0,227.0,29.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Painter,0.0,239.0,239.0,150.0,25.0,215.0,5.0,314.0,553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merchant,101.0,0.0,101.0,41.0,41.0,41.0,21.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeweler,109.0,109.0,0.0,71.0,71.0,71.0,15.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timon,1171.0,598.0,598.0,1554.0,1156.0,386.0,2372.0,4759.0,1171.0,98.0,226.0,128.0,68.0,26.0,2083.0,956.0,956.0,956.0,956.0,2561.0,17.0,88.0,71.0,6.0,28.0,17.0,140.0,127.0,245.0,140.0,77.0,182.0,77.0,105.0,105.0,105.0,105.0,105.0,558.0,974.0,974.0,357.0,357.0,357.0,606.0,606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.X.1,55.0,55.0,55.0,55.0,55.0,55.0,0.0,0.0,55.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OldMan,263.0,263.0,263.0,263.0,263.0,263.0,0.0,0.0,263.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.TIMON.Lucilius,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apemantus,364.0,364.0,364.0,969.0,364.0,1914.0,38.0,822.0,364.0,0.0,0.0,0.0,0.0,48.0,653.0,605.0,605.0,696.0,605.0,614.0,0.0,146.0,146.0,0.0,0.0,0.0,238.0,0.0,238.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0,238.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.X.2,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
