,Bassianus,Marcus,SENATORS,ROMANS,TRIBUNES,Lucius,Aaron,Quintus,Martius,Mutius,Titus,Chiron,Tamora,Captain,Demetrius,Lavinia,ROMANS.0,GUARDS,ATTENDANTS,CountryFellow,Aemilius,Infant,GOTHS,GOTHS.0.2,YoungLucius,SERVANTS,Saturninus,Sempronius,Caius,Publius,Alarbus,Valentine,GOTHS.0,Nurse
Saturninus,1099.0,840.0,468.0,781.0,562.0,965.0,1208.0,951.0,951.0,633.0,1255.0,1411.0,1778.0,633.0,1411.0,675.0,1858.0,326.0,1003.0,12.0,238.0,94.0,94.0,94.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bassianus,0.0,458.0,216.0,262.0,216.0,290.0,283.0,290.0,290.0,94.0,290.0,290.0,409.0,94.0,290.0,409.0,409.0,63.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus,495.0,0.0,441.0,458.0,1054.0,1481.0,321.0,417.0,417.0,380.0,2223.0,262.0,875.0,214.0,262.0,2283.0,2801.0,197.0,640.0,33.0,613.0,613.0,613.0,624.0,1314.0,571.0,1091.0,189.0,189.0,189.0,0.0,0.0,0.0,0.0
Captain,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Titus,645.0,4729.0,644.0,928.0,945.0,3326.0,1255.0,1660.0,1660.0,1162.0,0.0,2365.0,2243.0,928.0,2365.0,4003.0,7239.0,390.0,442.0,234.0,301.0,301.0,301.0,1639.0,2455.0,1023.0,942.0,836.0,1328.0,1328.0,303.0,492.0,0.0,0.0
Lucius,57.0,981.0,15.0,204.0,573.0,0.0,790.0,243.0,243.0,232.0,1094.0,212.0,770.0,204.0,212.0,803.0,1743.0,15.0,558.0,0.0,607.0,994.0,1083.0,994.0,547.0,237.0,622.0,0.0,0.0,0.0,83.0,0.0,49.0,0.0
Tamora,1032.0,441.0,0.0,207.0,20.0,689.0,912.0,669.0,669.0,192.0,1146.0,2009.0,0.0,207.0,2009.0,909.0,2419.0,0.0,525.0,21.0,227.0,20.0,20.0,594.0,20.0,20.0,985.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0
Chiron,121.0,0.0,0.0,14.0,0.0,0.0,317.0,0.0,0.0,0.0,48.0,0.0,156.0,14.0,533.0,171.0,533.0,0.0,0.0,0.0,0.0,46.0,0.0,45.0,17.0,17.0,0.0,0.0,11.0,11.0,0.0,11.0,0.0,46.0
Demetrius,168.0,28.0,0.0,86.0,0.0,28.0,678.0,28.0,28.0,0.0,140.0,942.0,280.0,86.0,0.0,238.0,942.0,0.0,28.0,0.0,0.0,156.0,0.0,26.0,10.0,10.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0
Lavinia,494.0,32.0,17.0,92.0,17.0,107.0,92.0,107.0,107.0,92.0,107.0,452.0,569.0,92.0,452.0,0.0,569.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIBUNES,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mutius,20.0,20.0,0.0,36.0,0.0,20.0,20.0,20.0,20.0,0.0,36.0,20.0,20.0,36.0,20.0,20.0,36.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martius,266.0,43.0,0.0,0.0,0.0,43.0,88.0,309.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,309.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quintus,251.0,11.0,0.0,0.0,0.0,11.0,69.0,0.0,262.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Lucius Martius Quintus,0.0,19.0,0.0,0.0,0.0,19.0,0.0,19.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron,103.0,253.0,0.0,0.0,71.0,1115.0,0.0,73.0,73.0,0.0,284.0,1618.0,308.0,0.0,1618.0,302.0,3448.0,0.0,83.0,0.0,71.0,1889.0,946.0,946.0,82.0,11.0,83.0,0.0,0.0,0.0,0.0,0.0,71.0,846.0
Messenger,0.0,64.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YoungLucius,0.0,334.0,0.0,0.0,48.0,48.0,132.0,0.0,0.0,0.0,334.0,132.0,48.0,0.0,132.0,334.0,466.0,0.0,48.0,0.0,48.0,48.0,48.0,48.0,0.0,154.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nurse,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,183.0,0.0,183.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Publius,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,54.0,0.0,0.0,54.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,91.0,0.0,0.0,91.0,145.0,0.0,0.0,54.0,0.0,0.0
CountryFellow,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,69.0,69.0,0.0,69.0,0.0,240.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,69.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0
Aemilius,0.0,38.0,0.0,0.0,38.0,91.0,53.0,0.0,0.0,0.0,38.0,74.0,112.0,0.0,74.0,38.0,165.0,0.0,112.0,0.0,0.0,91.0,91.0,91.0,38.0,38.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOTHS.0.1,0.0,12.0,0.0,0.0,0.0,80.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,12.0,80.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOTHS,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOTHS.0.2,0.0,0.0,0.0,0.0,0.0,190.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,190.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOTHS.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,24.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIBUNES ATTENDANTS,0.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIBUNES.0.1,0.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,25.0,25.0,25.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
