,Boatswain,Shipmaster,SAILORS,Gonzalo,Ferdinand,Alonso,Antonio,Sebastian,Adrian,Prospero,Miranda,Ariel,Francisco,SPIRITS,Trinculo,Stephano,Caliban,SPIRITS.Iris,SPIRITS.Juno,SPIRITS.Ceres,SPIRITS.REAPERS,SPIRITS.NYMPHS
Shipmaster,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boatswain,0.0,181.0,290.0,359.0,323.0,323.0,359.0,359.0,173.0,173.0,173.0,173.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alonso,160.0,145.0,15.0,976.0,293.0,0.0,976.0,976.0,961.0,596.0,278.0,238.0,961.0,45.0,72.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0
Antonio,74.0,16.0,32.0,1266.0,24.0,1202.0,0.0,1266.0,1200.0,50.0,16.0,101.0,1200.0,34.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0
Gonzalo,61.0,0.0,106.0,40.0,284.0,1341.0,1406.0,1406.0,1314.0,378.0,202.0,137.0,1314.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastian,67.0,45.0,15.0,942.0,51.0,899.0,942.0,0.0,913.0,121.0,51.0,123.0,913.0,34.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0
SAILORS,13.0,0.0,0.0,13.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miranda,0.0,0.0,0.0,66.0,709.0,66.0,66.0,66.0,66.0,1288.0,0.0,220.0,66.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0
Prospero,463.0,463.0,0.0,1148.0,1772.0,1148.0,1148.0,1148.0,1148.0,850.0,4195.0,2222.0,1148.0,99.0,224.0,224.0,398.0,90.0,90.0,90.0,36.0,36.0
Ariel,27.0,27.0,0.0,502.0,236.0,502.0,502.0,502.0,502.0,1541.0,811.0,0.0,502.0,9.0,47.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0
Caliban,69.0,69.0,0.0,69.0,69.0,69.0,69.0,69.0,69.0,553.0,354.0,813.0,69.0,0.0,1244.0,1244.0,170.0,0.0,0.0,0.0,0.0,0.0
Ferdinand,0.0,0.0,0.0,114.0,139.0,114.0,114.0,114.0,114.0,1064.0,1064.0,419.0,114.0,0.0,0.0,0.0,0.0,41.0,41.0,41.0,0.0,0.0
Adrian,0.0,0.0,0.0,92.0,0.0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francisco,0.0,0.0,0.0,97.0,0.0,97.0,97.0,97.0,97.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trinculo,48.0,48.0,0.0,48.0,48.0,48.0,48.0,48.0,48.0,202.0,48.0,316.0,48.0,0.0,0.0,761.0,1049.0,0.0,0.0,0.0,0.0,0.0
Stephano,58.0,58.0,0.0,58.0,58.0,58.0,58.0,58.0,58.0,310.0,58.0,712.0,58.0,0.0,1750.0,0.0,1750.0,0.0,0.0,0.0,0.0,0.0
SPIRITS.Iris,0.0,0.0,0.0,0.0,369.0,0.0,0.0,0.0,0.0,369.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,210.0,0.0,0.0
SPIRITS.Ceres,0.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,187.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,71.0,0.0,0.0,0.0
SPIRITS.Juno,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,53.0,0.0,0.0
Ferdinand Miranda,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
