,Prologue,Pandarus,Troilus,Aeneas,Helenus,Priam,Hector,Paris,SERVANTS.TROILUS.1,Cressida,Diomedes,Antenor,Deiphobus,Ulysses,Nestor,Trumpeter,Patroclus,Menelaus,Achilles,Agamemnon,ATTENDANTS.TROJAN,ATTENDANTS.GREEK,Ajax,Thersites,Andromache,Cassandra,SOLDIERS.TROJAN,Alexander,Boy,SERVANTS.PARIS.1,Helen,SERVANTS.AENEAS.1,Calchas,SOLDIERS.GREEK,Bastard,MYRMIDONS,SOLDIERS.GREEK.1,SERVANTS.DIOMEDES.1
Prologue,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troilus,0.0,1213.0,319.0,654.0,775.0,784.0,1028.0,1245.0,10.0,1792.0,514.0,470.0,470.0,956.0,17.0,9.0,9.0,9.0,17.0,9.0,9.0,9.0,54.0,871.0,174.0,18.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pandarus,0.0,279.0,1381.0,75.0,0.0,0.0,0.0,583.0,27.0,2435.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,0.0,0.0,0.0,0.0,0.0,8.0,837.0,29.0,768.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aeneas,0.0,203.0,432.0,0.0,203.0,0.0,217.0,474.0,0.0,20.0,757.0,271.0,271.0,797.0,760.0,760.0,217.0,760.0,217.0,760.0,203.0,936.0,217.0,37.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0
Cressida,0.0,1847.0,1507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0,0.0,0.0,566.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,99.0,99.0,467.0,0.0,0.0,0.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boy,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agamemnon,0.0,0.0,295.0,510.0,105.0,0.0,295.0,105.0,0.0,27.0,1619.0,0.0,0.0,1530.0,1676.0,587.0,732.0,1133.0,429.0,0.0,105.0,917.0,1092.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,50.0,0.0,0.0,0.0,0.0
Nestor,0.0,0.0,234.0,349.0,9.0,0.0,234.0,9.0,0.0,35.0,1034.0,0.0,0.0,1282.0,0.0,384.0,419.0,751.0,290.0,1064.0,9.0,725.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,128.0,0.0,0.0,0.0,0.0
Ulysses,0.0,0.0,656.0,282.0,169.0,0.0,302.0,169.0,0.0,379.0,2731.0,0.0,0.0,0.0,3024.0,494.0,1595.0,1837.0,1604.0,2641.0,169.0,1713.0,1323.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.0,0.0,0.0,0.0,0.0,0.0
