,Camillo,Archidamus,Leontes,Mamillius,Polixenes,ATTENDANTS.PAULINA.0.1,Perdita,Florizell,MUSICIANS,Mopsa,SERVANTS.SHEPHERD,ShepherdsSon,Dorcas,Shepherd,SHEPHERDS,Autolycus,Hermione,ATTENDANTS,Paulina,SERVANTS.SHEPHERD.1,LADIES,Antigonus,SERVANTS.X.1,SERVANTS,Perdita.Infant,SERVANTS.X.2,OFFICERS,Dion,Cleomenes,SERVANTS.X.3,ATTENDANTS.X,Sailor,ATTENDANTS.PAULINA,Jailer,LADIES.Emilia,ATTENDANTS.1,ATTENDANTS.3,ATTENDANTS.2
Archidamus,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camillo,133.0,212.0,575.0,10.0,672.0,1343.0,1177.0,1177.0,42.0,42.0,42.0,42.0,42.0,65.0,42.0,341.0,65.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polixenes,2409.0,0.0,566.0,491.0,0.0,1313.0,916.0,916.0,216.0,198.0,216.0,198.0,198.0,841.0,198.0,0.0,566.0,566.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leontes,2658.0,0.0,0.0,1385.0,1748.0,3232.0,1055.0,1055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2708.0,4097.0,2430.0,0.0,1164.0,1626.0,522.0,1482.0,654.0,84.0,498.0,1343.0,1141.0,87.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hermione,706.0,0.0,1836.0,753.0,706.0,885.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1836.0,885.0,0.0,1239.0,314.0,0.0,0.0,0.0,0.0,774.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mamillius,35.0,0.0,35.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,26.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LADIES.0.1,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LADIES.0.2,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.0.1,0.0,0.0,315.0,46.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,315.0,69.0,0.0,109.0,235.0,39.0,93.0,76.0,17.0,24.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigonus,0.0,0.0,524.0,0.0,0.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0,79.0,0.0,0.0,0.0,0.0,247.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
Paulina,694.0,0.0,2610.0,0.0,694.0,2942.0,730.0,730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,2062.0,0.0,0.0,590.0,778.0,590.0,1295.0,778.0,0.0,18.0,1138.0,1107.0,87.0,36.0,0.0,127.0,332.0,235.0,0.0,0.0,0.0
Jailer,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,37.0,0.0,0.0,0.0
LADIES.Emilia,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0
SERVANTS.X.1,0.0,0.0,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,43.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,16.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,8.0,17.0,0.0,17.0,17.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
