,Slender,HughEvans,MasterPage,Pistol_2H4,Falstaff_1H4,Nym_H5,Bardolph_1H4,Simple,AnnePage,MasterFord,Host,Rugby,DoctorCaius,MistressQuickly_1H4,Fenton,Robert,John,MistressFord,Shallow_2H4,MistressPage,BOYS,WilliamPage,Robin
Shallow_2H4,1000.0,716.0,816.0,37.0,37.0,37.0,37.0,287.0,128.0,270.0,436.0,260.0,290.0,98.0,98.0,30.0,30.0,17.0,0.0,0.0,0.0,0.0,0.0
Slender,0.0,892.0,624.0,406.0,406.0,230.0,230.0,337.0,583.0,220.0,52.0,61.0,61.0,408.0,232.0,0.0,0.0,176.0,1000.0,176.0,176.0,0.0,0.0
HughEvans,992.0,137.0,750.0,385.0,470.0,170.0,255.0,671.0,149.0,360.0,188.0,170.0,381.0,534.0,0.0,56.0,56.0,339.0,1084.0,618.0,264.0,319.0,0.0
MasterPage,745.0,982.0,0.0,272.0,272.0,72.0,72.0,118.0,198.0,932.0,229.0,166.0,407.0,294.0,147.0,43.0,43.0,610.0,681.0,684.0,200.0,0.0,0.0
Falstaff_1H4,178.0,458.0,403.0,1469.0,456.0,654.0,552.0,119.0,90.0,1574.0,199.0,0.0,35.0,910.0,35.0,0.0,0.0,900.0,143.0,519.0,315.0,0.0,810.0
Bardolph_1H4,52.0,52.0,52.0,66.0,193.0,66.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,14.0
Pistol_2H4,54.0,133.0,189.0,0.0,348.0,424.0,66.0,0.0,79.0,135.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,135.0,54.0,135.0,79.0,0.0,138.0
Nym_H5,51.0,51.0,152.0,219.0,146.0,0.0,51.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,51.0,101.0,0.0,0.0,95.0
Simple,24.0,101.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,221.0,54.0,54.0,130.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
AnnePage,188.0,27.0,31.0,12.0,12.0,0.0,0.0,38.0,0.0,12.0,0.0,0.0,12.0,113.0,159.0,0.0,0.0,12.0,85.0,43.0,12.0,0.0,0.0
Host,507.0,291.0,638.0,86.0,215.0,86.0,256.0,379.0,0.0,188.0,0.0,584.0,616.0,0.0,76.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,86.0
MistressQuickly_1H4,34.0,455.0,17.0,1169.0,1460.0,0.0,17.0,677.0,386.0,17.0,0.0,550.0,404.0,17.0,455.0,0.0,0.0,17.0,34.0,193.0,333.0,157.0,836.0
Rugby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,67.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
