Play,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Density,Cluster Coefficient
Ado,0.9629629629629629,0.12690786515107488,0.9310344827586207,0.3014343600961145,0.5,0.7945200807275593
2H6,0.7472527472527473,0.3724491035869598,0.7982456140350878,0.29107841628403697,0.1588628762541806,0.7875985408764509
2H4,0.5873015873015872,0.298254021498427,0.5941286909028844,0.3786145286712515,0.14087301587301587,0.7208146043525132
Err,0.9130434782608695,0.07996351474612343,0.8846153846153846,0.26883463320127,0.5760869565217391,0.8814516144044009
MM,0.8125,0.20145572953032634,0.8421052631578947,0.31829806330002763,0.3106060606060606,0.7338030638124252
WT,0.7272727272727273,0.31160833782732905,0.7857142857142857,0.2931756752717629,0.2545454545454545,0.7192628444793117
TN,1.0476190476190474,0.23000824572253148,0.9545454545454546,0.2782219007497332,0.6190476190476191,0.8862760011824182
Tro,0.6829268292682927,0.13263052166744235,0.7226738934056006,0.270211714716567,0.27177700348432055,0.7392663354567475
Ham,0.7555555555555555,0.26429318436894195,0.7758620689655172,0.33490787123605087,0.19710144927536233,0.7539410530362742
LLL,1.0,0.037618540879410446,0.92,0.25860257062572706,0.7065217391304348,0.8671976809167211
Per,0.6142857142857142,0.48346862467865764,0.7,0.4159005063292675,0.10181086519114688,0.7476129907578093
Tit,0.9210526315789473,0.1345483522180198,0.926829268292683,0.2587344879430236,0.41970310391363025,0.7963678337324634
1H6,0.48750000000000004,0.20261627540088714,0.6280720338983051,0.2891748393487123,0.13425925925925927,0.734760463448388
Shr,0.875,0.1908660820959208,0.8888888888888888,0.24614597387721923,0.33163265306122447,0.7713597075767377
3H6,0.7313432835820896,0.215868690215138,0.7701149425287356,0.3047599780317676,0.16242317822651448,0.8241286061867159
1H4,0.5609756097560976,0.2780536198219125,0.6396131202691338,0.3656695525622386,0.1800232288037166,0.6972192316177278
H5,0.711864406779661,0.27085612392604297,0.7309865275966971,0.37117631377363697,0.16836158192090395,0.7698281064194376
Oth,0.8285714285714285,0.2381010716150036,0.8536585365853658,0.2888648741824775,0.3333333333333333,0.7228808249126614
MND,0.8620689655172413,0.2670478536242083,0.8285714285714286,0.29397872243834583,0.4298850574712644,0.8245731220216347
Jn,0.918918918918919,0.22657010990344323,0.8809523809523809,0.2924757095772426,0.33428165007112376,0.8336499492434406
Wiv,0.9642857142857142,0.10191797051882047,0.9032258064516129,0.28122441241419943,0.5024630541871922,0.8100457547248084
Cym,0.7000000000000001,0.29196060239323973,0.6914285714285714,0.29209438152587563,0.18823529411764706,0.7992265139232902
JC,0.9344262295081968,0.3170537233418409,0.9104477611940298,0.34753983544464717,0.20359598096245374,0.7649654480147096
R3,0.7945205479452054,0.2322530061103372,0.7990867579908676,0.3198943540139041,0.16882636060718254,0.7257254237785677
AYL,0.6774193548387096,0.22533701742303888,0.7560975609756098,0.31763631692418615,0.3064516129032258,0.7731617926277368
R2,0.7959183673469387,0.26308209497195606,0.8305084745762712,0.30617736200616585,0.22938775510204082,0.7396761129945563
TNK,0.7142857142857142,0.287591050378086,0.7716836734693877,0.29274159242114123,0.19924812030075187,0.6957793328860471
Tmp,1.0454545454545454,0.2947570947570948,0.9565217391304348,0.29379484101068,0.5217391304347826,0.8068297218552973
Rom,0.7346938775510203,0.17231768207857867,0.7836734693877552,0.29834617146355247,0.2620408163265306,0.7611119088007685
H8,0.5846153846153846,0.1918607088492961,0.6710059171597633,0.31653368207503324,0.14778554778554778,0.7618154696427395
Mac,0.6481481481481481,0.40693203546977136,0.6923076923076923,0.32882555694974636,0.14276094276094276,0.7317080934113387
Ant,0.5684210526315789,0.257659410614671,0.6985294117647058,0.306040629799479,0.1013157894736842,0.7482490239425551
Cor,0.7441860465116279,0.3200136358907318,0.7818181818181819,0.31385067532222544,0.12510024057738572,0.7721126651244243
AWW,0.8529411764705882,0.20348221175925468,0.8292682926829268,0.30138562474270536,0.32941176470588235,0.8218136207544704
Tim,0.7619047619047619,0.4356209922191897,0.7924528301886793,0.36260544893119745,0.11820728291316526,0.755286294975834
Lr,0.7333333333333334,0.1425334838222952,0.7894736842105263,0.2619641635601706,0.2763285024154589,0.7479260853774174
MV,0.6875,0.22614180795630845,0.7619047619047619,0.30525142020012974,0.2859848484848485,0.757705582353767
TGV,0.8421052631578947,0.22823029796714006,0.7916666666666666,0.34897901002608905,0.42105263157894735,0.6893603618603618
