Play,Character,Words,TotalPlayWords
Cym_exchange,Imogen,831.0,3233.0
Cym_exchange,Cloten,781.0,3233.0
Cym_exchange,Posthumus,681.0,3233.0
Cym_exchange,Pisanio,429.0,3233.0
Cym_exchange,Belarius,414.0,3233.0
Cym_exchange,Iachimo,97.0,3233.0
H5_exchange,Chorus,1966.0,2541.0
H5_exchange,Boy,297.0,2541.0
H5_exchange,Henryv,183.0,2541.0
H5_exchange,Pistol 2H4,95.0,2541.0
Rom_exchange,Juliet,1101.0,2177.0
Rom_exchange,Romeo,440.0,2177.0
Rom_exchange,Friarlawrence,306.0,2177.0
Rom_exchange,Chorus,254.0,2177.0
Rom_exchange,Servants Capulet X 1,76.0,2177.0
3H6_exchange,Richardiii R3,674.0,2167.0
3H6_exchange,Henryvi 1H6,527.0,2167.0
3H6_exchange,Warwick 2H6,384.0,2167.0
3H6_exchange,York 1H6,304.0,2167.0
3H6_exchange,Clifford,278.0,2167.0
TGV_exchange,Proteus,711.0,2019.0
TGV_exchange,Julia,629.0,2019.0
TGV_exchange,Valentine,329.0,2019.0
TGV_exchange,Lance,248.0,2019.0
TGV_exchange,Eglamour,102.0,2019.0
Tro_exchange,Thersites,1055.0,2004.0
Tro_exchange,Troilus,315.0,2004.0
Tro_exchange,Pandarus,276.0,2004.0
Tro_exchange,Prologue,266.0,2004.0
Tro_exchange,Hector,40.0,2004.0
Tro_exchange,Ajax,23.0,2004.0
Tro_exchange,Diomedes,22.0,2004.0
Tro_exchange,Bastard,7.0,2004.0
Per_exchange,Gower,1239.0,1971.0
Per_exchange,Pericles,460.0,1971.0
Per_exchange,Thaliard,118.0,1971.0
Per_exchange,Simonides,92.0,1971.0
Per_exchange,Antiochus,62.0,1971.0
Wiv_exchange,Masterford,748.0,1749.0
Wiv_exchange,Falstaff 1H4,450.0,1749.0
Wiv_exchange,Mistresspage,377.0,1749.0
Wiv_exchange,Hughevans,135.0,1749.0
Wiv_exchange,Mistressford,24.0,1749.0
Wiv_exchange,Mistressquickly 1H4,15.0,1749.0
1H4_exchange,Falstaff,899.0,1613.0
1H4_exchange,Hotspur R2,436.0,1613.0
1H4_exchange,Henryv H5,209.0,1613.0
1H4_exchange,Travelers Carriers 1,64.0,1613.0
1H4_exchange,Gadshill,5.0,1613.0
Mac_exchange,Ladymacbeth,536.0,1410.0
Mac_exchange,Macbeth,419.0,1410.0
Mac_exchange,Porter,244.0,1410.0
Mac_exchange,Macduff,108.0,1410.0
Mac_exchange,Banquo,103.0,1410.0
TN_exchange,Viola,354.0,1275.0
TN_exchange,Feste,276.0,1275.0
TN_exchange,Malvolio,238.0,1275.0
TN_exchange,Sebastian,208.0,1275.0
TN_exchange,Olivia,151.0,1275.0
TN_exchange,Antonio,48.0,1275.0
Tmp_exchange,Prospero,847.0,1193.0
Tmp_exchange,Caliban,169.0,1193.0
Tmp_exchange,Ferdinand,138.0,1193.0
Tmp_exchange,Gonzalo,39.0,1193.0
MM_exchange,Angelo,430.0,1167.0
MM_exchange,Duke,350.0,1167.0
MM_exchange,Pompey,192.0,1167.0
MM_exchange,Isabella,157.0,1167.0
MM_exchange,Bawd,38.0,1167.0
1H6_exchange,Talbot,351.0,1130.0
1H6_exchange,Pucelle,280.0,1130.0
1H6_exchange,Exeter H5,243.0,1130.0
1H6_exchange,Countess,62.0,1130.0
1H6_exchange,Cardinalbeaufort,58.0,1130.0
1H6_exchange,Lucy,56.0,1130.0
1H6_exchange,Soldiers English 1,38.0,1130.0
1H6_exchange,Vernon,21.0,1130.0
1H6_exchange,Boy,21.0,1130.0
LLL_exchange,Berowne,579.0,1060.0
LLL_exchange,Armado,260.0,1060.0
LLL_exchange,Costard,221.0,1060.0
AWW_exchange,Helen,701.0,1040.0
AWW_exchange,Parolles,219.0,1040.0
AWW_exchange,Countess,120.0,1040.0
Tim_exchange,Timon,385.0,945.0
Tim_exchange,Servants Timon X 2,149.0,945.0
Tim_exchange,Senators X,141.0,945.0
Tim_exchange,Servants Timon Flaminius,120.0,945.0
Tim_exchange,Flavius,113.0,945.0
Tim_exchange,Apemantus,37.0,945.0
MND_exchange,Robingoodfellow,285.0,882.0
MND_exchange,Helena,243.0,882.0
MND_exchange,Bottom,225.0,882.0
MND_exchange,Lysander,80.0,882.0
MND_exchange,Oberon,49.0,882.0
H8_exchange,Prologue,306.0,827.0
H8_exchange,Wolsey,267.0,827.0
H8_exchange,Epilogue,140.0,827.0
H8_exchange,Chamberlain,114.0,827.0
2H4_exchange,Falstaff 1H4,456.0,815.0
2H4_exchange,Chorus,336.0,815.0
2H4_exchange,Lordbardolph,17.0,815.0
2H4_exchange,Henryiv 1H4,6.0,815.0
Err_exchange,Antipholusofsyracuse,568.0,762.0
Err_exchange,Courtesan,146.0,762.0
Err_exchange,Dromioofsyracuse,48.0,762.0
R3_exchange,Richardiii,607.0,687.0
R3_exchange,Murderers 1,55.0,687.0
R3_exchange,Murderers 2,25.0,687.0
Ado_exchange,Benedick,489.0,682.0
Ado_exchange,Claudio,97.0,682.0
Ado_exchange,Beatrice,96.0,682.0
2H6_exchange,York 1H6,438.0,643.0
2H6_exchange,Hume,205.0,643.0
JC_exchange,Brutus,453.0,624.0
JC_exchange,Artemidorus,141.0,624.0
JC_exchange,Caesar,30.0,624.0
Ham_exchange,Hamlet,563.0,581.0
Ham_exchange,Claudius,18.0,581.0
Jn_exchange,Bastard,382.0,542.0
Jn_exchange,Arthur,108.0,542.0
Jn_exchange,Kingjohn,52.0,542.0
AYL_exchange,Rosalind,257.0,439.0
AYL_exchange,Orlando,132.0,439.0
AYL_exchange,Oliver,31.0,439.0
AYL_exchange,Olivermartext,19.0,439.0
MV_exchange,Lanceletgobbo,343.0,364.0
MV_exchange,Jessica,21.0,364.0
TNK_exchange,Prologue,313.0,313.0
Ant_exchange,Enobarbus,123.0,177.0
Ant_exchange,Scarus,54.0,177.0
WT_exchange,Camillo,132.0,132.0
R2_exchange,Salisbury,65.0,65.0
Cor_exchange,Citizens Roman,47.0,55.0
Cor_exchange,Soldiers Roman,8.0,55.0
Shr_exchange,Sly,30.0,30.0
